Accession,STD Annot.,Lab Annot.,Curated Loc.,TAIR Loc.
AT1G71480.1,Nuclear transport factor 2 (NTF2) family protein ,nuclear transport factor 2 (NTF2) family protein,plastid,thylakoid membrane (sensu Viridiplantae)
AT1G71500.1,Rieske (2Fe-2S) domain-containing protein ,PHOTOSYSTEM II PROTEIN33 (PSB33) (stroma lamellae),thylakoid,thylakoid membrane (sensu Viridiplantae)
AT1G71720.1,Nucleic acid-binding proteins superfamily ,S1 RNA-binding domain-containing protein ,plastid nucleoid,
AT1G71810.1,Protein kinase superfamily protein ,ABC1 kinase 5 (ABC1K5),plastoglobules,
AT1G71920.1,"Encodes a protein that is believed to act as a histidinol-phosphate transaminase involved in histidine biosynthesis. If the gene encoding the other protein shown to have this function, HISN6A (AT5G10330), is disrupted, a residual level of histidine biosynthesis continues, suggesting that HISN6B can somewhat compensate for the loss of HISN6A.",histidinol-phosphate aminotransferase,stroma,
AT1G71920.2,HISTIDINE BIOSYNTHESIS 6B ,histidinol-phosphate aminotransferase,stroma,
AT1G71920.3,"Encodes a protein that is believed to act as a histidinol-phosphate transaminase involved in histidine biosynthesis. If the gene encoding the other protein shown to have this function, HISN6A (AT5G10330), is disrupted, a residual level of histidine biosynthesis continues, suggesting that HISN6B can somewhat compensate for the loss of HISN6A.",histidinol-phosphate aminotransferase,stroma,
AT1G72520.1,PLAT/LH2 domain-containing lipoxygenase family protein ,lipoxygenase (PG in dbl mutant),plastid,
AT1G72640.1,NAD(P)-binding Rossmann-fold superfamily protein ,unknown protein,plastid,thylakoid membrane (sensu Viridiplantae)
AT1G72640.2,NAD(P)-binding Rossmann-fold superfamily protein ,unknown protein,plastid,thylakoid membrane (sensu Viridiplantae)
AT1G72810.1,"Pyridoxal-5'-phosphate-dependent enzyme family protein; FUNCTIONS IN: pyridoxal phosphate binding, catalytic activity, threonine synthase activity; INVOLVED IN: threonine biosynthetic process, metabolic process, cellular amino acid metabolic process; LOCATED IN: chloroplast; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Threonine synthase (InterPro:IPR004450), Pyridoxal phosphate-dependent enzyme, beta subunit (InterPro:IPR001926), Serine/threonine dehydratase, pyridoxal-phosphate-binding site (InterPro:IPR000634); BEST Arabidopsis thaliana protein match is: Pyridoxal-5'-phosphate-dependent enzyme family protein (TAIR:AT4G29840.1); Has 6773 Blast hits to 6773 proteins in 2056 species: Archae - 400; Bacteria - 4271; Metazoa - 80; Fungi - 26; Plants - 85; Viruses - 0; Other Eukaryotes - 1911 (source: NCBI BLink).",Pyridoxal-5'-phosphate-dependent enzyme,plastid stroma,
AT1G73060.1,Low  PSII Accumulation 3 ,"LPA3 - PSII assembly factor associates with CP43, LPA2, ALB3",thylakoid-peripheral-stromal-side,
AT1G73090.1,unknown protein; Has 28 Blast hits to 28 proteins in 12 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 28; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). ,unknown protein,plastid,
AT1G73090.2,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 12 growth stages.,unknown protein,plastid,
AT1G73110.1,P-loop containing nucleoside triphosphate hydrolases superfamily protein ,activase -related,stroma,thylakoid membrane (sensu Viridiplantae)
AT1G73170.1,P-loop containing nucleoside triphosphate hydrolases superfamily protein ,SPD1 homolog,plastid stroma,
AT1G73170.2,"P-loop containing nucleoside triphosphate hydrolases superfamily protein; FUNCTIONS IN: nucleoside-triphosphatase activity, ATP-dependent peptidase activity, nucleotide binding, serine-type endopeptidase activity, ATP binding; INVOLVED IN: proteolysis; LOCATED IN: chloroplast; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: ATPase, AAA-type, core (InterPro:IPR003959), ATPase, AAA+ type, core (InterPro:IPR003593), Peptidase S16, Lon protease, C-terminal (InterPro:IPR001984); BEST Arabidopsis thaliana protein match is: P-loop containing nucleoside triphosphate hydrolases superfamily protein (TAIR:AT3G10420.2); Has 1135 Blast hits to 1119 proteins in 483 species: Archae - 15; Bacteria - 797; Metazoa - 45; Fungi - 0; Plants - 122; Viruses - 0; Other Eukaryotes - 156 (source: NCBI BLink).",SPD1 homolog,plastid stroma,
AT1G73530.1,RNA-binding (RRM/RBD/RNP motifs) family protein ,ORRM6 (editing factor),plastid stroma,
AT1G73750.1,"Uncharacterised conserved protein UCP031088, alpha/beta hydrolase; CONTAINS InterPro DOMAIN/s: Uncharacterised conserved protein UCP031088, alpha/beta hydrolase, At1g15070 (InterPro:IPR016969), Alpha/beta hydrolase fold-1 (InterPro:IPR000073); BEST Arabidopsis thaliana protein match is: Uncharacterised conserved protein UCP031088, alpha/beta hydrolase (TAIR:AT1G15060.1); Has 187 Blast hits to 154 proteins in 46 species: Archae - 0; Bacteria - 64; Metazoa - 8; Fungi - 0; Plants - 107; Viruses - 0; Other Eukaryotes - 8 (source: NCBI BLink).",unknown SAG protein,plastoglobules,
AT1G73885.1,"unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast thylakoid membrane, chloroplast; Has 37 Blast hits to 37 proteins in 13 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi ",unknown protein,thylakoid,thylakoid membrane (sensu Viridiplantae)
AT1G73990.1,signal peptide peptidase ,SPPA,thylakoid-integral,thylakoid membrane (sensu Viridiplantae)
AT1G74030.1,enolase 1 ,phosphoenolpyruvate (PEP) enolase (ENO1),plastid stroma,
AT1G74040.1,2-isopropylmalate synthase 1 ,2-isopropylmalate synthase -related ,plastid stroma,
AT1G74070.1,Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein ,Isomerases TAT lTP,plastid,
AT1G74260.1,purine biosynthesis 4 ,formyl-glycinamidine ribonucleotide synthase (FGAMS) (PUR4) (dual targeted),plastid stroma; mitochondria,
AT1G74470.1,Pyridine nucleotide-disulphide oxidoreductase family protein ,geranylgeranyl reductase (GGDR),thylakoid,thylakoid membrane (sensu Viridiplantae)
AT1G74640.1,alpha/beta-Hydrolases superfamily protein ,unknown protein alpha/beta hydrolase fold,plastid,thylakoid membrane (sensu Viridiplantae)
AT1G74730.1,Protein of unknown function (DUF1118) ,reduced induction of non-photochemical quenching 2 (RIQ2),thylakoid,thylakoid membrane (sensu Viridiplantae)
AT1G74850.1,plastid transcriptionally active 2 ,pentatricopeptide (PPR) repeat (pTAC2),plastid nucleoid,plastid chromosome
AT1G74880.1,NAD(P)H:plastoquinone dehydrogenase complex subunit O ,NDH O,thylakoid,thylakoid membrane (sensu Viridiplantae)
AT1G74960.1,"Encodes a plastidic beta-ketoacyl-ACP synthase II, involved in fatty acid elongation from 16:0-ACP to 18:0-ACP. Homozygous knock-out mutants are embryo lethal, indicating early embryo development is sensitive to elevated 16:0.",beta-3-ketoacyl-ACP synthetase 2 (KASII) (FAB1),plastid,
AT1G74960.2,"Encodes a plastidic beta-ketoacyl-ACP synthase II, involved in fatty acid elongation from 16:0-ACP to 18:0-ACP. Homozygous knock-out mutants are embryo lethal, indicating early embryo development is sensitive to elevated 16:0.",beta-3-ketoacyl-ACP synthetase 2 (KASII) (FAB1),plastid,
AT1G74960.3,fatty acid biosynthesis 1 ,beta-3-ketoacyl-ACP synthetase 2 (KASII) (FAB1),plastid,
AT1G74970.1,ribosomal protein S9 ,30S ribosomal protein S9,plastid ribosome,plastid small ribosomal subunit
AT1G75010.1,GTP binding ,ARC3 - plastid division,plastid stroma,
AT1G75330.1,ornithine carbamoyltransferase ,ornithine carbamoyltransferase,plastid stroma,
AT1G75350.1,"embryo defective 2184 (emb2184); FUNCTIONS IN: structural constituent of ribosome; INVOLVED IN: translation, ribosome biogenesis, embryo development ending in seed dormancy; LOCATED IN: ribosome, chloroplast, chloroplast stroma, chloroplast envelope; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Ribosomal protein L31 (InterPro:IPR002150); Has 1009 Blast hits to 1009 proteins in 370 species: Archae - 0; Bacteria - 720; Metazoa - 0; Fungi - 0; Plants - 59; Viruses - 0; Other Eukaryotes - 230 (source: NCBI BLink).",50S ribosomal protein L31,plastid ribosome,
AT1G75460.1,ATP-dependent protease La (LON) domain protein ,LON-domain protein 3 (LON-like3),plastid,
AT1G75690.1,DnaJ/Hsp40 cysteine-rich domain superfamily protein ,LQY1,plastid,thylakoid membrane (sensu Viridiplantae)
AT1G76080.1,chloroplastic drought-induced stress protein of 32 kD ,thioredoxin (CDSP32),plastid stroma,
AT1G76100.1,One of two Arabidopsis plastocyanin genes. Expressed at 1/10th level of PETE2. Does not respond to increased copper levels and is thought to be the isoform that participates in electron transport under copper-limiting conditions. Mutation of this gene does not have obvious effect on photosynthesis.,PC-2,thylakoid-peripheral-lumenal-side,thylakoid lumen (sensu Viridiplantae)
AT1G76405.2,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast envelope; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: u,OEP21-I,envelope-outer,chloroplast envelope
AT1G76450.1,Photosystem II reaction center PsbP family protein ,OEC23-like-2 Tat lTP,thylakoid-peripheral-lumenal-side,thylakoid lumen (sensu Viridiplantae)
AT1G76730.1,NagB/RpiA/CoA transferase-like superfamily protein ,5-formyltetrahydrofolate cyclo-ligase family protein,plastid stroma,
AT1G77060.1,Phosphoenolpyruvate carboxylase family protein ,isocitrate lyase (strange in the plastid) similar to carboxyphosphonoenolpyruvate mutase,plastid stroma,
AT1G77090.1,Mog1/PsbP/DUF1795-like photosystem II reaction center PsbP family protein ,OEC23-like-5 Tat lTP TL29.8,thylakoid-peripheral-lumenal-side,thylakoid lumen (sensu Viridiplantae)
AT1G77122.1,Uncharacterised protein family UPF0090 ,unknown protein,plastid,
AT1G77490.1,thylakoidal ascorbate peroxidase ,thylakoid bound APX,thylakoid-integral,thylakoid membrane (sensu Viridiplantae)
AT1G77590.1,long chain acyl-CoA synthetase 9 ,LACS9 - acyl-CoA synthetase -plastid,envelope-outer,chloroplast
AT1G78010.1,"tRNA modification GTPase, putative ",tRNA modification GTPase Trme (TRME),plastid,
AT1G78140.1,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein ,UbiE methyltransferase related 1,plastoglobules,
AT1G78510.1,solanesyl diphosphate synthase 1 ,solanesyl diphosphate synthase 1 (SPS1) (not ER) dual plastid-mito or only plastid,stroma; mitochondria,plastid
AT1G78510.2,Encodes a protein with solanesyl diphosphate synthase activity.,solanesyl diphosphate synthase 1 (SPS1) (not ER) dual plastid-mito or only plastid,stroma; mitochondria,
AT1G78560.1,Sodium Bile acid symporter family ,bile acid:sodium symporter family,envelope,
AT1G78620.1,"Protein of unknown function DUF92, transmembrane ",phytol-dikinase (VTE6),envelope-inner-integral,chloroplast inner membrane
AT1G78620.2,"Protein of unknown function DUF92, transmembrane; LOCATED IN: chloroplast, chloroplast inner membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF92, transmembrane (InterPro:IPR002794); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).",phytol-dikinase (VTE6),envelope-inner-integral,chloroplast inner membrane
AT1G78630.1,Ribosomal protein L13 family protein ,50S ribosomal protein L13,plastid ribosome,
AT1G78915.1,Tetratricopeptide repeat (TPR)-like superfamily protein ,Tetratricopeptide repeat (TPR) protein ,thylakoid,thylakoid membrane (sensu Viridiplantae)
AT1G78915.2,"Tetratricopeptide repeat (TPR)-like superfamily protein; FUNCTIONS IN: binding; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast thylakoid membrane; CONTAINS InterPro DOMAIN/s: Tetratricopeptide-like helical (InterPro:IPR011990), Tetratricopeptide repeat-containing (InterPro:IPR013026), Tetratricopeptide repeat (InterPro:IPR019734).",Tetratricopeptide repeat (TPR) protein ,thylakoid,
AT1G78915.3,Tetratricopeptide repeat (TPR)-like superfamily protein ,Tetratricopeptide repeat (TPR) protein ,thylakoid,
AT1G79040.1,photosystem II subunit R ,psbR,thylakoid-integral,thylakoid membrane (sensu Viridiplantae)
AT1G79050.1,recA DNA recombination family protein ,DNA repair protein recA,stroma,
AT1G79050.2,"recA DNA recombination family protein; FUNCTIONS IN: in 6 functions; INVOLVED IN: DNA repair, SOS response, DNA recombination, DNA metabolic process; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: DNA recombination/repair protein RecA/RadB, ATP-binding domain (InterPro:IPR020588), ATPase, AAA+ type, core (InterPro:IPR003593), DNA recombination/repair protein RecA, conserved site (InterPro:IPR020584), DNA recombination and repair protein RecA (InterPro:IPR013765), DNA recombination/repair protein RecA, monomer-monomer interface (InterPro:IPR020587); BEST Arabidopsis thaliana protein match is: recA DNA recombination family protein (TAIR:AT2G19490.1); Has 19704 Blast hits to 19632 proteins in 5647 species: Archae - 493; Bacteria - 14777; Metazoa - 222; Fungi - 191; Plants - 243; Viruses - 74; Other Eukaryotes - 3704 (source: NCBI BLink).",DNA repair protein recA ,stroma,
AT1G79530.1,"Encodes one of the chloroplast/plastid localized GAPDH isoforms (GAPCp1/At1g79530 and GAPCp2/At1g16300). gapcp double mutants display a drastic phenotype of arrested root development, dwarfism and sterility. GAPCps are important for the synthesis of serine in roots.",glyceraldehyde-3-phosphate dehydrogenase-Cp-1 (GapCp-1),stroma,
AT1G79560.1,FTSH protease 12 ,FtsH12,envelope,chloroplast
AT1G79600.1,Protein kinase superfamily protein ,ABC1 kinase 3 (ABC1K3),plastoglobules,
AT1G79750.1,NADP-malic enzyme 4 ,NADP-malic enzyme 4 (NADP-ME4) ,plastid,chloroplast
AT1G79790.1,Haloacid dehalogenase-like hydrolase (HAD) superfamily protein ,FMN-hydrolase - FHy/PyrP1 ,plastid stroma,
AT1G79790.2,Encodes a chloroplast-localized FMN hydrolase that whose phosphatase activity is FMN-specific.,FMN-hydrolase - FHy/PyrP1 ,plastid stroma,
AT1G79850.1,ribosomal protein S17 ,30S ribosomal protein S17 ,plastid ribosome,
AT1G80030.1,"Molecular chaperone Hsp40/DnaJ family protein; FUNCTIONS IN: unfolded protein binding, heat shock protein binding, ATP binding; INVOLVED IN: protein folding, response to heat; LOCATED IN: chloroplast thylakoid membrane, chloroplast; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Molecular chaperone, heat shock protein, Hsp40, DnaJ (InterPro:IPR015609), HSP40/DnaJ peptide-binding (InterPro:IPR008971), Chaperone DnaJ, C-terminal (InterPro:IPR002939), Heat shock protein DnaJ, N-terminal (InterPro:IPR001623), Heat shock protein DnaJ, conserved site (InterPro:IPR018253), Heat shock protein DnaJ, cysteine-rich domain (InterPro:IPR001305), Chaperone DnaJ (InterPro:IPR012724), Heat shock protein DnaJ (InterPro:IPR003095); BEST Arabidopsis thaliana protein match is: Molecular chaperone Hsp40/DnaJ family protein (TAIR:AT3G17830.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).",J-domain protein DjA7 (type 1),thylakoid,thylakoid membrane (sensu Viridiplantae)
AT1G80030.2,"Molecular chaperone Hsp40/DnaJ family protein; FUNCTIONS IN: unfolded protein binding, heat shock protein binding, ATP binding; INVOLVED IN: protein folding, response to heat; LOCATED IN: chloroplast thylakoid membrane, chloroplast; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Molecular chaperone, heat shock protein, Hsp40, DnaJ (InterPro:IPR015609), HSP40/DnaJ peptide-binding (InterPro:IPR008971), Chaperone DnaJ, C-terminal (InterPro:IPR002939), Heat shock protein DnaJ, N-terminal (InterPro:IPR001623), Heat shock protein DnaJ, conserved site (InterPro:IPR018253), Heat shock protein DnaJ, cysteine-rich domain (InterPro:IPR001305), Chaperone DnaJ (InterPro:IPR012724), Heat shock protein DnaJ (InterPro:IPR003095); BEST Arabidopsis thaliana protein match is: Molecular chaperone Hsp40/DnaJ family protein (TAIR:AT3G17830.1); Has 29521 Blast hits to 28422 proteins in 3502 species: Archae - 196; Bacteria - 11553; Metazoa - 4490; Fungi - 2479; Plants - 2799; Viruses - 20; Other Eukaryotes - 7984 (source: NCBI BLink).",J-domain protein DjA7 (type 1),thylakoid,thylakoid membrane (sensu Viridiplantae)
AT1G80030.3,Molecular chaperone Hsp40/DnaJ family protein ,J-domain protein DjA7 (type 1),thylakoid,thylakoid membrane (sensu Viridiplantae)
AT1G80300.1,nucleotide transporter 1 ,ATP/ADP translocator (AATP1 ort AtNTT1),envelope-inner-integral,
AT1G80380.1,encodes a glycerate kinase which catalyzes the last step of photorespiration C2 cycle.,glycerate-kinase (GK) - Model .2 is better than model .1,plastid stroma,
AT1G80380.2,P-loop containing nucleoside triphosphate hydrolases superfamily protein ,glycerate-kinase (GK) - Model .2 is better than model .1,plastid stroma,
AT1G80380.3,encodes a glycerate kinase which catalyzes the last step of photorespiration C2 cycle.,glycerate-kinase (GK) - Model .2 is better than model .1,plastid stroma,
AT1G80380.4,encodes a glycerate kinase which catalyzes the last step of photorespiration C2 cycle.,glycerate-kinase (GK) - Model .2 is better than model .1,plastid stroma,
AT1G80480.1,plastid transcriptionally active 17 ,PRLI-interacting factor L (pTAC17),plastid stroma,plastid chromosome
AT1G80560.1,isopropylmalate dehydrogenase 2 ,3-isopropylmalate dehydrogenase-1,plastid stroma,
AT1G80600.1,HOPW1-1-interacting 1 ,acetylornithine transaminase/AOTA/ACOAT),plastid stroma,
AT1G80770.1,P-loop containing nucleoside triphosphate hydrolases superfamily protein ,P-loop containing nucleoside triphosphate hydrolases superfamily protein ,plastid,
AT1G80770.2,P-loop containing nucleoside triphosphate hydrolases superfamily protein ,P-loop containing nucleoside triphosphate hydrolases superfamily protein ,plastid,
AT2G01110.1,Sec-independent periplasmic protein translocase ,TATC-like,thylakoid-integral,
AT2G01140.1,Aldolase superfamily protein ,fructose-bisphosphate aldolase-3 (SFBA-3),stroma,mitochondrion
AT2G01320.1,"ABC-2 type transporter family protein; FUNCTIONS IN: ATPase activity, coupled to transmembrane movement of substances; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: ATPase, AAA+ type, core (InterPro:IPR003593), ABC transporter-like (InterPro:IPR003439), ABC transporter, conserved site (InterPro:IPR017871), ABC-2 type transporter (InterPro:IPR013525); BEST Arabidopsis thaliana protein match is: ABC-2 type transporter family protein (TAIR:AT3G25620.2); Has 387535 Blast hits to 354405 proteins in 4108 species: Archae - 7090; Bacteria - 308145; Metazoa - 8600; Fungi - 6710; Plants - 5407; Viruses - 19; Other Eukaryotes - 51564 (source: NCBI BLink).",ABC transporter family,envelope,
AT2G01320.2,"ABC-2 type transporter family protein; FUNCTIONS IN: ATPase activity, coupled to transmembrane movement of substances; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: ATPase, AAA+ type, core (InterPro:IPR003593), ABC transporter-like (InterPro:IPR003439), ABC-2 type transporter (InterPro:IPR013525), ABC transporter, conserved site (InterPro:IPR017871); BEST Arabidopsis thaliana protein match is: ABC-2 type transporter family protein (TAIR:AT3G25620.2); Has 387358 Blast hits to 354249 proteins in 4108 species: Archae - 7085; Bacteria - 307995; Metazoa - 8597; Fungi - 6708; Plants - 5391; Viruses - 19; Other Eukaryotes - 51563 (source: NCBI BLink).",ABC transporter family,envelope,
AT2G01320.3,"ABC-2 type transporter family protein; FUNCTIONS IN: ATPase activity, coupled to transmembrane movement of substances; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: ATPase, AAA+ type, core (InterPro:IPR003593), ABC transporter-like (InterPro:IPR003439), ABC-2 type transporter (InterPro:IPR013525), ABC transporter, conserved site (InterPro:IPR017871); BEST Arabidopsis thaliana protein match is: ABC-2 type transporter family protein (TAIR:AT3G25620.2); Has 387349 Blast hits to 354243 proteins in 4108 species: Archae - 7085; Bacteria - 307989; Metazoa - 8597; Fungi - 6708; Plants - 5387; Viruses - 19; Other Eukaryotes - 51564 (source: NCBI BLink).",ABC transporter family,envelope,
AT2G01320.4,ABC-2 type transporter family protein ,ABC transporter family,envelope,
AT2G01755.1,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; Has 120 Blast hits to 120 proteins in 52 species: Archae - 0; Bacteria - 80; Metazoa - 0; Fungi - 0; Plants - 24; Viruses - 0,unknown protein,plastid stroma,
AT2G01870.1,"unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast thylakoid membrane, chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; Has 11 Blast hits to 1",unknown protein,plastid,thylakoid membrane (sensu Viridiplantae)
AT2G01918.1,PsbQ-like 3 ,Psbq-like 3 (PQL3),thylakoid-peripheral-lumenal-side,
AT2G02500.1,Nucleotide-diphospho-sugar transferases superfamily protein ,"4-Diphosphocytidyl-2C-methyl-D-erythritol synthase (MCT; previously IspD, CMS, MECT)",plastid stroma,
AT2G02590.1,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Putative small multi-drug export (InterPro:,membrane transporter,envelope,
AT2G02740.1,"Encodes a homolog of the potato p24 protein.  It shares the conserved KGKAAL domain, a putative DNA-binding domain, with potato p24 and is localized to the plastid and not the nucleus.",Why3 - DNA binding/transcription factor (p24 or Pbf-2) (pTAC11),plastid nucleoid,plastid chromosome & chloroplast
AT2G02740.2,"Encodes a homolog of the potato p24 protein.  It shares the conserved KGKAAL domain, a putative DNA-binding domain, with potato p24 and is localized to the plastid and not the nucleus.",Why3 - DNA binding/transcription factor (p24 or Pbf-2) (pTAC11),plastid nucleoid,
AT2G03140.1,alpha/beta-Hydrolases superfamily protein ,alpha/beta-Hydrolases superfamily protein ,plastid,
AT2G03140.2,alpha/beta-Hydrolases superfamily protein ,alpha/beta-Hydrolases superfamily protein ,plastid,
AT2G03390.1,uvrB/uvrC motif-containing protein ,CLPF (adaptor),plastid stroma,
AT2G03390.2,uvrB/uvrC motif-containing protein ,CLPF (adaptor),plastid stroma,
AT2G04030.1,Chaperone protein htpG family protein ,cpHSP90 (Hsp90-5),plastid stroma,mitochondrion & chloroplast stroma
AT2G04030.2,Chaperone protein htpG family protein ,cpHSP90 (Hsp90-5),plastid stroma,mitochondrion & chloroplast stroma
AT2G04039.1,unknown protein; FUNCTIONS IN: molecular_function unknown; LOCATED IN: chloroplast; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF2996 (InterPro:IPR021374); Has 159 B,NDH complex subunit V (NDHV),thylakoid,
AT2G04039.2,unknown protein; FUNCTIONS IN: molecular_function unknown; LOCATED IN: chloroplast; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF2996 (InterPro:IPR021374); Has 157 Blast hits to 157 proteins in 52 species: Archae - 0; Bacteria - 76; Metazoa - 0; Fungi - 0; Plants - 37; Viruses - 0; Other Eukaryotes - 44 (source: NCBI BLink).,unknown protein,plastid,
AT2G04270.1,"Similar to E.coli endoribonuclease E. Functions as a ribonuclease, is located in the chloroplast, and is involved in chloroplast development. Loss of function mutants are white and arrest at the cotyledon stage. The phenotype is rescued by providing sucrose.",RNaseE/G-type endoribonuclease,plastid stroma,
AT2G04270.2,"Similar to E.coli endoribonuclease E. Functions as a ribonuclease, is located in the chloroplast, and is involved in chloroplast development. Loss of function mutants are white and arrest at the cotyledon stage. The phenotype is rescued by providing sucrose.",RNaseE/G-type endoribonuclease,plastid stroma,
AT2G04270.3,RNAse E/G-like ,RNaseE/G-type endoribonuclease,plastid stroma,
AT2G04270.4,RNAse E/G-like ,RNaseE/G-type endoribonuclease,plastid stroma,
AT2G04270.5,"Similar to E.coli endoribonuclease E. Functions as a ribonuclease, is located in the chloroplast, and is involved in chloroplast development. Loss of function mutants are white and arrest at the cotyledon stage. The phenotype is rescued by providing sucrose.",RNaseE/G-type endoribonuclease,plastid stroma,
AT2G04400.1,Aldolase-type TIM barrel family protein ,indole-3-glycerol phosphate synthase (IGPS),plastid stroma,
AT2G04530.1,Metallo-hydrolase/oxidoreductase superfamily protein ,tRNase Z TrZS2,plastid,
AT2G04700.1,ferredoxin thioredoxin reductase catalytic beta chain family protein ,ferredoxin-thioredoxin reductase subunit A (catalytic),plastid stroma,
AT2G04842.1,"threonyl-tRNA synthetase, putative / threonine--tRNA ligase, putative ",Thr-tRNA synthetase (ThrRS-2) (dual targeted - cTP/mTP),plastid stroma; mitochondria,mitochondrion & chloroplast
AT2G05070.1,Encodes Lhcb2.2.  Belongs to the Lhc super-gene family encodes the light-harvesting chlorophyll a/b-binding (LHC) proteins that constitute the antenna system of the photosynthetic apparatus.,LHCII-2.2,thylakoid-integral,thylakoid membrane (sensu Viridiplantae)
AT2G05100.1,photosystem II light harvesting complex gene 2.1 ,LHCII-2.1,thylakoid-integral,thylakoid membrane (sensu Viridiplantae)
AT2G05620.1,proton gradient regulation 5 ,PGR5,thylakoid-peripheral-stromal-side,thylakoid (sensu Viridiplantae)
AT2G05990.1,"Encodes enoyl-ACP reductase a component of the fatty acid synthase complex.  A reduced function mutation in this gene, mod1, was found in a screen for premature cell death mutants. Mutant plants have reduced lipid level and pleiotropic morphological defects, including chlorotic and abnormally shaped leaves.",Enoyl-ACP reductase (MOD1 - (MOSAIC DEATH 1);,plastid stroma,fatty acid synthase complex
AT2G05990.2,NAD(P)-binding Rossmann-fold superfamily protein ,Enoyl-ACP reductase (MOD1 - (MOSAIC DEATH 1);,plastid stroma,fatty acid synthase complex
AT2G06520.1,photosystem II subunit X ,psbX precursor 1 TM lTP but spontaneous,thylakoid-integral,
