"","Locus","Description","otherName"
"533","AT5G16120","alpha/beta-Hydrolases superfamily protein;(source:Araport11)",""
"342","AT5G48230","Encodes an acetoacetyl-CoA thiolase that generates the bulk of the acetoacetyl-CoA precursor needed for the cytosolic localized, mevalonate-derived isoprenoids biosynthetic pathway.  Loss-of-function mutants are embryo lethal.","AACT2; ACAT2; ACETOACETYL-COA THIOLASE 2; EMB1276; EMBRYO DEFECTIVE 1276"
"547","AT5G64080","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;(source:Araport11)","ATXYP1; XYLOGEN PROTEIN 1; XYP1"
"350","ATCG00710","Encodes a 8 kD phosphoprotein that is a component of the photosystem II oxygen evolving core. Its exact molecular function has not been determined but it may play a role in mediating electron transfer between the secondary quinone acceptors, QA and QB, associated with the acceptor side of PSII.","PHOTOSYSTEM II REACTION CENTER PROTEIN H; PSBH"
"288","AT3G60590","cytochrome P450 family protein;(source:Araport11)",""
"408","AT5G58260","Encodes subunit NDH-N of NAD(P)H:plastoquinone dehydrogenase complex (Ndh complex) present in the thylakoid membrane of chloroplasts. This subunit is thought to be required for Ndh complex assembly.","NADH DEHYDROGENASE-LIKE COMPLEX N; NDHN"
"645","AT5G47100","member of AtCBLs (Calcineurin B-like Calcium Sensor Proteins. CBL9 interacts with and targets CIPK23 to the plasma membrane in vivo.",""
"121","AT5G16440","Encodes a protein with isopentenyl diphosphate:dimethylallyl diphosphate isomerase activity. There is genetic evidence that it functions in the mevalonate, but not the MEP biosynthetic pathway.","IPP1; ISOPENTENYL DIPHOSPHATE ISOMERASE 1"
"438","AT2G29630","Encodes a protein involved in thiamine biosynthesis. The protein is an iron-sulfur cluster protein predicted to catalyze the conversion of 5-aminoimidazole ribonucleotide (AIR) to hydroxymethylpyrimidine phosphate (HMP-P). A severe reduction of THIC levels in plants decreases vitamin B1 (thiamin diphosphate (TPP)) levels and also leads to changes in the levels of numerous other metabolites since so many primary metabolic enzymes require a TPP co-factor. thiC mutants are chlorotic and arrest in their development at the cotyledon stage. A N-terminal targeting sequence directs the THIC protein to the chloroplast stroma. The THIC transcript is regulated by a TPP riboswitch in the 3' UTR. THIC transcripts are observed in seedlings 5 or more days after germination, and light promotes the expression of this gene.","PY; PYRIMIDINE REQUIRING; THIAMINC; THIC"
"302","AT5G53620","RNA polymerase II degradation factor;(source:Araport11)",""
"371","AT5G43780","sulfate adenylyltransferase, ATP sulfurylase","APS4; ATPS4"
"534","AT5G58140","Membrane-bound protein serine/threonine kinase that functions as blue light photoreceptor in redundancy with PHO1. Involved in stomatal opening, chloroplast movement and phototropism. Mediates blue light-induced growth enhancements. PHOT1 and PHOT2 mediate blue light-dependent activation of the plasma membrane H+-ATPase in guard cell protoplasts. PHOT2 possesses two LOV (LOV1 and LOV2, for light-oxygen-voltage-sensing) domains involved in FMN-binding and a C-terminus forming a serine/threonine kinase domain. LOV2 acts as an inhibitor of phototropin kinase in the dark, and light cancels the inhibition through cysteine-FMN adduct formation. LOV1 in contrast acts as an attenuator of photoactivation.  Localized to the Golgi apparatus under the induction of blue light.The mRNA is cell-to-cell mobile.",""
"500","AT5G63400","encodes a protein similar to adenylate kinase.","ADENYLATE KINASE 1; ADK1"
"836","AT5G65940","hydrolyzes beta-hydroxyisobutyryl-CoA","BETA-HYDROXYISOBUTYRYL-COA HYDROLASE 1; CHY1"
"825","AT5G16120","alpha/beta-Hydrolases superfamily protein;(source:Araport11)","MAGL15"
"252","AT5G59910","Histone superfamily protein;(source:Araport11)","HTB4"
"541","AT5G53470","Encodes an acyl-CoA binding protein that is localized to vesicles,and plasma membrane especially in epidermal cells of heart, torpedo and cotyledon stage embryos, cell wall of the seed coat. Northern blot analysis showed that the 1.4 kb ACBP1 mRNA was expressed in silique, root, stem, leaf and flower.","ACBP; ACBP1; ACYL-COA BINDING PROTEIN; ACYL-COA BINDING PROTEIN 1; ATACBP1"
"602","AT5G41670","6-phosphogluconate dehydrogenase family protein;(source:Araport11)","6-PHOSPHOGLUCONATE DEHYDROGENASE 3; PGD3"
"88","AT5G55230","Binds and bundles microtubules. Plays a role in stabilizing anti-parallel microtubules  in the central spindle at anaphase to early cytokinesis but is not essential at the midline of the phragmoplast at later stages. The timing with which the MAP65-1 was targeted to  the spindle appears to be regulated by a phosphorylation sensitive  switch. Enhances microtubule polymerization, promotes nucleation and stabilizes microtubules against cold treatment and dilution.","MAP65-1; MICROTUBULE-ASSOCIATED PROTEINS 65-1"
"762","AT5G47110","Encodes a light-harvesting-like protein that is involved in chlorophyll and tocopherol biosynthesis anchoring geranylgeranyl reductase in the thylakoid membrane.","LIGHT-HARVESTING-LIKE 3:2; LIL3:2"
"383","AT5G61220","LYR family of Fe/S cluster biogenesis protein;(source:Araport11)",""
"943","AT5G60460","Preprotein translocase Sec, Sec61-beta subunit protein;(source:Araport11)",""
"928","AT5G64140","Encodes a putative ribosomal protein S28.","RIBOSOMAL PROTEIN S28; RPS28"
"939","AT5G50330","Protein kinase superfamily protein;(source:Araport11)",""
"871","AT1G31180","The AtIMD3 is one out of 3 genes encoding the enzyme 3-isopropylmalate dehydrogenase involved in leucine biosynthesis in Arabidopsis. Its subcellular location has been targeted to plastids.","ARABIDOPSIS ISOPROPYLMALATE DEHYDROGENASE 3; ATIMD3; IMD3; IPMDH1; ISOPROPYLMALATE DEHYDROGENASE 1; ISOPROPYLMALATE DEHYDROGENASE 3"
"261","AT5G26742","DEAD box RNA helicase (RH3);(source:Araport11)","ATRH3; EMB1138; EMBRYO DEFECTIVE 1138; RH3"
"7","AT5G64460","Phosphoglycerate mutase family protein;(source:Araport11)",""
"765","AT5G63510","Encodes a mitochondrial gamma carbonic anhydrase-like protein. Component of the NADH dehydrogenase complex.","GAMMA CAL1; GAMMA CARBONIC ANHYDRASE LIKE 1"
"193","AT5G56500","Encodes a subunit of chloroplasts chaperonins that are involved in mediating the folding of newly synthesized, translocated, or stress-denatured proteins.  Cpn60 subunits are: Cpn60alpha1 (At2g28000), AtCpn60alpha2 (At5g18820), AtCpn60beta1 (At1g55490), AtCpn60beta2 (At3g13470), AtCpn60beta3 (At5g56500), AtCpn60beta4 (At1g26230).","CHAPERONIN-60BETA3; CPN60BETA3; CPNB3"
"958","AT3G06310","Cox19-like CHCH family protein;(source:Araport11)",""
"926","AT5G56170","LORELEI-LIKE-GPI-ANCHORED PROTEIN 1;(source:Araport11)","LLG1; LORELEI-LIKE-GPI-ANCHORED PROTEIN 1"
"709","AT1G50840","DNA Polymerase gamma2. Dual targeting to mitochondria and plastids due to alternative translation initiation.","POLGAMMA2; POLIA; POLYMERASE GAMMA 2; POLYMERASE I A"
"505","ATCG01230","chloroplast gene encoding ribosomal protein s12. The gene is located in three distinct loci on the chloroplast genome and is transpliced to make one transcript.","RIBOSOMAL PROTEIN S12; RIBOSOMAL PROTEIN S12B; RPS12; RPS12B"
"543","AT5G57200","ENTH/ANTH/VHS superfamily protein;(source:Araport11)","PICALM2A"
"844","AT3G23710","Tic22-like family protein;(source:Araport11)","ATTIC22-III; TIC22-III; TRANSLOCON AT THE INNER ENVELOPE MEMBRANE OF CHLOROPLASTS 22-III"
"864","FGENESH2_KG.2__732__ATCG00490.1","",""
"341","AT5G50750","RGP4 is a reversibly glycosylated polypeptide. Analyses using tagged RGP4 suggest that it is present in the cytosol and in association with the Golgi apparatus. Recombinant RGP4 does not have UDP-arabinose mutase activity based on an in vitro assay even though the related RGP1, RGP2, and RGP3 proteins do have activity in the same assay. RGP4 can form complexes with RGP1 and RGP2. RGP4 is expressed during seed development.","REVERSIBLY GLYCOSYLATED POLYPEPTIDE 4; RGP4"
"800","AT5G39570","Protein of unknown function. Binds phosphatidic acid and acts downstream of PLDalpha.","PLD REGULATED PROTEIN1; PLDRP1"
"894","AT5G21060","Glyceraldehyde-3-phosphate dehydrogenase-like family protein;(source:Araport11)",""
"630","AT2G16070","An integral outer envelope membrane protein (its homolog in A thaliana PDV1), component of the plastid division machinery. Similar to ARC6, PDV2 localizes to a continuous ring at the division site in wild-type plants. PDV1 and PDV2 are required for localization of ARC5 at the chloroplast division site.","PDV2; PLASTID DIVISION2"
"279","AT5G42020","Luminal binding protein (BiP2) involved in polar nuclei fusion during proliferation of endosperm nuclei.","BIP; BIP2; LUMINAL BINDING PROTEIN"
"768","AT5G38430","Encodes a member of the Rubisco small subunit (RBCS) multigene family: RBCS1A (At1g67090), RBCS1B (At5g38430), RBCS2B (At5g38420), and RBCS3B (At5g38410).","RBCS1B; RUBISCO SMALL SUBUNIT 1B"
"813","AT5G66530","Galactose mutarotase-like superfamily protein;(source:Araport11)",""
"137","ATCG01020","encodes a chloroplast ribosomal protein L32, a constituent of the large subunit of the ribosomal complex","RIBOSOMAL PROTEIN L32; RPL32"
"282","AT5G62390","A member of Arabidopsis BAG (Bcl-2-associated athanogene) proteins, plant homologs of mammalian regulators of apoptosis. Plant BAG proteins are multi-functional and remarkably similar to their animal counterparts, as they regulate apoptotic-like processes ranging from pathogen attack, to abiotic stress, to plant development. Localized to the ER. Necessary for the proper maintenance of the unfolded protein response during heat and cold tolerance.","ATBAG7; BAG7; BCL-2-ASSOCIATED ATHANOGENE 7"
"286","AT2G20940","transmembrane protein, putative (DUF1279);(source:Araport11)",""
"138","AT3G11945","Encodes a protein involved in plastoquinone-9 biosynthesis. The enzyme possesses homogentisate prenyltransferase activity and was shown to use solanesyl diphosphate, farnesyl diphosphate and geranylgeranyldiphosphate as prenyl donors, but not phytyldiphosphate.  This gene At3g11945 derives from a split of At3g11950, publications Tian et al (2007) and Sadre et al (2006) refer to this gene as At3g11950.","ATHST; HOMOGENTISATE PRENYLTRANSFERASE; HST; PDS2; PHYTOENE DESATURATION 2"
"110","FGENESH2_KG.7__1315__AT4G28750.1","",""
"693","AT3G46980","Encodes an inorganic phosphate transporter (PHT4;3).","PHOSPHATE TRANSPORTER 4;3; PHT4;3"
"344","AT5G38470","Encodes a member of the RADIATION SENSITIVE23 (RAD23) family: AT1G16190(RAD23A), AT1G79650(RAD23B), AT3G02540(RAD23C), AT5G38470(RAD23D). RAD23 proteins play an essential role in the cell cycle, morphology, and fertility of plants through their delivery of UPS (ubiquitin/26S proteasome system) substrates to the 26S proteasome.","RAD23D; RADIATION SENSITIVE23D"
"811","AT1G01080","RNA-binding (RRM/RBD/RNP motifs) family protein;(source:Araport11)",""
"612","AT5G17560","BolA-like family protein;(source:Araport11)",""
"640","AT2G16640","multimeric translocon complex in the outer envelope membrane 132;(source:Araport11)","AIC1; ARSENATE INDUCED CHLOROSIS  1"
"675","AT5G63880","SNF7 family protein;(source:Araport11)","VPS20.1"
"642","AT5G14780","Encodes a NAD-dependent formate dehydrogenase.",""
"429","AT2G29630","Encodes a protein involved in thiamin biosynthesis. The protein is an iron-sulfur cluster protein predicted to catalyze the conversion of 5-aminoimidazole ribonucleotide (AIR) to hydroxymethylpyrimidine (HMP) or  hydroxymethylpyrimidine phosphate (HMP-P). A severe reduction of THIC levels in plants decreases vitamin B1 (thiamin diphosphate (TPP)) levels and also leads to changes in the levels of numerous other metabolites since so many primary metabolic enzymes require a TPP co-factor. thiC mutants are chlorotic and arrest in their development at the cotyledon stage. A N-terminal targeting sequence directs the THIC protein to the chloroplast stroma. A conserved TPP-binding site is located in the 3' UTR of the At2g29630.2 gene model, and is predicted to function as a riboswitch. The riboswitch controls the  formation of transcripts with alternative 3' UTR lengths, which affect mRNA accumulation and protein production. THIC transcripts are observed in seedlings 5 or more days after germination, and light promotes the expression of this gene.  Recessive mutant isolated by Redei. Leaves but not cotyledons white, lethal; restored to normal by thiamine or 2,5-dimethyl-4-aminopyrimidine.","THIAMINC; THIC"
"520","AT5G19140","aluminum induced protein with YGL and LRDR motifs;(source:Araport11)",""
"229","AT5G25780","member of eIF3b - eukaryotic initiation factor 3b","ATEIF3B-2; EIF3B; EIF3B-2; EUKARYOTIC TRANSLATION INITIATION FACTOR 3B; EUKARYOTIC TRANSLATION INITIATION FACTOR 3B-2"
"334","AT3G53560","Tetratricopeptide repeat (TPR)-like superfamily protein;(source:Araport11)",""
"931","AT5G57870","Encodes a putative eukaryotic translation initiation factor The mRNA is cell-to-cell mobile.","EIFISO4G1; EUKARYOTIC TRANSLATION INITIATION FACTOR ISOFORM 4G1"
"956","AT1G01090","pyruvate dehydrogenase E1 alpha subunit","PDH-E1 ALPHA; PYRUVATE DEHYDROGENASE E1 ALPHA"
"728","AT5G13510","Ribosomal protein L10 family protein;(source:Araport11)","EMB3136; EMBRYO DEFECTIVE 3136"
"24","AT5G59370","Encodes one of eight Arabidopsis actins.  ACT4 belongs to the reproductive actin subclass which is predominantly expressed in developing and reproductive tissues, such as pollen, pollen tubes, ovules, and developing seeds.  Expression of the ACT4/GUS fusion was restricted to young vascular tissues, tapetum, and developing and mature pollen.","ACT4; ACTIN 4"
"521","AT1G05200","Encodes a putative glutamate receptor GLR3 with dual localization in plastid and plasma membrane.",""
"294","AT5G64990","RAB GTPase homolog H1A;(source:Araport11)","RAB GTPASE HOMOLOG H1A; RABH1A"
"150","AT5G19130","GPI transamidase component family protein / Gaa1-like family protein;(source:Araport11)",""
"904","AT5G16010","3-oxo-5-alpha-steroid 4-dehydrogenase family protein;(source:Araport11)",""
"85","ATCG01090","Encodes subunit of the chloroplast NAD(P)H dehydrogenase complex","NDHI"
"101","AT1G78620","integral membrane protein (Protein of unknown function DUF92, transmembrane);(source:Araport11)","VITAMIN E DEFICIENT6; VTE6"
"133","AT2G45150","cytidinediphosphate diacylglycerol synthase 4;(source:Araport11)","CDS4; CYTIDINEDIPHOSPHATE DIACYLGLYCEROL SYNTHASE 4"
"567","AT5G58440","sorting nexin 2A;(source:Araport11)","SNX2A; SORTING NEXIN 2A"
"412","AT3G08710","Associated to plasma membrane. Moves cell to cell, suggesting a role in intercellular communication.",""
"462","AT5G63860","UV-B-specific signaling component that orchestrates expression of a range of genes with vital UV-protective functions. Located in the nucleus and the cytosol. Associates with chromatin via histones. UV-B light promotes URV8 protein accumulation in the nucleus. UVR8 interaction with COP1 is negatively regulated by RUP1 and RUP2.","ATUVR8; UVB-RESISTANCE 8; UVR8"
"784","AT5G22640","EMB1211 is a MORN (multiple membrane  occupation and recognition nexus) motif containing protein involved in embryo development and chloroplast biogenesis. The mRNA is cell-to-cell mobile.","EMB1211; EMBRYO DEFECTIVE 1211; TIC100; TRANSLOCON AT THE INNER ENVELOPE MEMBRANE OF CHLOROPLASTS 100"
"457","AT3G24320","Encodes a DNA binding protein that promotes re-arrangements of mitochondrial genome. Mutations affects mitochondrial gene expression, and impairs mitochondrial function. Dual targeting of the protein to mitochondria and chloroplasts caused by alternative translation initiation. Plastid MSH1 depletion results in variegation, abiotic stress tolerance, variable growth rate, and delayed maturity.","ATMSH1; CHLOROPLAST MUTATOR; CHM; CHM1; MSH1; MUTL PROTEIN HOMOLOG 1"
"878","AT5G24400","Encodes a protein with 6-phosphoglucunolactonase activity that localizes to the chloroplasts and the peroxisome. However, mutant phenotypes observed in pgl3 mutant plants can be complemented with a chloroplast-targeted version of the protein. PGL3 likely functions in the oxidative branch of the pentose phosphate pathway. pgl3 mutant phenotypes suggest that it is important in pathogen defense and maintenance of cellular redox homeostasis.","6-PHOSPHOGLUCONOLACTONASE 3; EMB2024; EMBRYO DEFECTIVE 2024; PGL3"
"627","AT5G39850","Ribosomal protein S4;(source:Araport11)",""
"585","AT1G16300","Encodes one of the chloroplast/plastid localized GAPDH isoforms (GAPCp1/At1g79530 and GAPCp2/At1g16300). gapcp double mutants display a drastic phenotype of arrested root development, dwarfism and sterility. GAPCps are important for the synthesis of serine in roots.","GAPCP-2; GLYCERALDEHYDE-3-PHOSPHATE DEHYDROGENASE OF PLASTID 2"
"712","AT5G67330","Encodes a member of the Nramp2 metal transporter family; like its homolog Atnramp3, localized in vacuolar membrane. Seedlings of double mutant, atnramp3-1 atnramp4-1, were arrested at early germination. The mRNA is cell-to-cell mobile.","ARABIDOPSIS THALIANA NATURAL RESISTANCE ASSOCIATED MACROPHAGE PROTEIN 4; ATNRAMP4; NATURAL RESISTANCE ASSOCIATED MACROPHAGE PROTEIN 4; NRAMP4"
"74","AT5G43470","Confers resistance to Peronospora parasitica. In arabidopsis ecotype Dijon-17, HRT-mediated signaling is dependent on light for the induction of  hypersensitive response and resistance to turnip crinkle virus.",""
"345","AT4G32520","Encodes a serine hydroxymethyltransferase SHMT3 located in the plastid.","ATSHMT3; SERINE HYDROXYMETHYLTRANSFERASE 3; SHM3"
"100","AT5G16660","Low-density receptor-like protein;(source:Araport11)",""
"126","AT5G39730","AIG2-like (avirulence induced gene) family protein;(source:Araport11)",""
"296","AT1G05200","Encodes a putative glutamate receptor GLR3 with dual localization in plastid and plasma membrane.",""
"692","AT3G24506","hypothetical protein;(source:Araport11)",""
"594","AT5G16300","Vps51/Vps67 family (components of vesicular transport) protein;(source:Araport11)","COG1; CONSERVED OLIGOMERIC GOLGI COMPLEX 1"
"812","AT1G71720","Encodes a chloroplast localized protein that regulates the translation of Ycf1 by binding to its mRNA. It is involved in the biogenesis of photosynthetic complexes.","BSF; PETB/PETD STABILIZING FACTOR"
"40","AT3G08710","Associated to plasma membrane. Moves cell to cell, suggesting a role in intercellular communication.","ATH9; TH9; THIOREDOXIN H-TYPE 9; THIOREDOXIN TYPE H 9; TRX H9"
"148","AT5G35080","Encodes a protein involved in the endoplasmic reticulum-associated degradation of glycoproteins.","ATOS9; OS9"
"236","AT5G42770","Maf-like protein;(source:Araport11)",""
"207","AT5G35170","adenylate kinase family protein;(source:Araport11)",""
"181","AT5G41950","Tetratricopeptide repeat (TPR)-like superfamily protein;(source:Araport11)","HLB1; HYPERSENSITIVE TO LATRUNCULIN  B 1"
"310","AT5G64440","AtFAAH (fatty acid amide hydrolase) modulates endogenous NAEs (N-Acylethanolamines) levels in plants by hydrolyzing NAEs to ethanolamine and their corresponding free fatty acids. NAE depletion likely participates in the regulation of plant growth. The mRNA is cell-to-cell mobile.","ATFAAH; FAAH; FATTY ACID AMIDE HYDROLASE"
"369","AT5G65360","Histone superfamily protein;(source:Araport11)","H3.1; HISTONE 3.1"
"875","AT4G24460","Encodes one of the CRT-Like transporters (CLT1/AT5G19380, CLT2/AT4G24460, CLT3/AT5G12170). Required for glutathione homeostasis and stress responses.  Mutants lacking these transporters are heavy metal-sensitive, glutathione(GSH)-deficient, and hypersensitive to Phytophthora infection.","CLT2; CRT (CHLOROQUINE-RESISTANCE TRANSPORTER)-LIKE TRANSPORTER 2"
"807","AT1G56190","One of a pair of plastid localized phosphoglycerate kinases involved in galactolipid biosynthesis. Functions redundantly with AT3g12780 (PGK1) in the chloroplast in the biosynthesis of thylakoid membrane galactolipids. Double mutants are photosynthetically incompetent, plants are albino and seedling lethal.","CPGK2; PGK2; PGKP2"
"846","AT5G64030","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein;(source:Araport11)",""
"643","AT4G35760","Encodes a bimodular enzyme comprising an integral domain homologous to the catalytic subunit of mammalian vitamin K epoxide reductase (VKORC1, EC 1.1.4.1) that is fused to a soluble thioredoxin-like moiety. Using yeast microsomes as a recombinant system, it was shown that the VKORC1 domain of At4g35760 functions as a stringent naphthoquinone reductase, and that its reduced Trx-like partner can serve as its electron donor.  Located in plastid. Required for the assembly of photosystem II. Can catalyze disulfide bond formation in vitro.",""
"143","AT1G53320","Member of plant TLP family.  TLP7 is tethered to the PM but detaches upon stimulus and translocates to the nucleus. Has DNA binding activity but lacks conservation of the transcription activation domain.","ATTLP7; TLP7; TUBBY LIKE PROTEIN 7"
"537","AT2G20940","transmembrane protein, putative (DUF1279);(source:Araport11)",""
"37","AT1G18640","Encodes a 3-phosphoserine phosphatase acting in the last step of serine biosynthesis within the chloroplast. Essential for embryo, pollen and root development.",""
"777","AT5G47880","Encodes a eukaryotic release factor 1 homolog.  Cosuppression of the gene's expression results affects cell elongation of the inflorescence stem, specifically the internodes, and radial cell division.  Expression of the protein is primarily observed in the vascular system and in actively growing and elongating zones.","ATERF1-1; ERF1-1; EUKARYOTIC RELEASE FACTOR 1-1"
"359","AT5G63640","Derives_from AT5G63640;(source:Araport11)",""
"814","AT5G52410","oxidoreductase/transition metal ion-binding protein;(source:Araport11)",""
"42","AT5G66040","Encodes a protein with thiosulfate sulfurtransferase/rhodanese activity  in vitro, however, it is likely to use a substrate other than thiosulfate or 3-mercaptopyruvate in vivo. The mRNA is cell-to-cell mobile.","STR16; SULFURTRANSFERASE PROTEIN 16"
"144","AT4G24620","The PGI1 gene encodes the plastid phospho-glucose (Glc) isomerase. While pgi1-1 mutant has a deficiency in leaf starch synthesis, it accumulates starch in root cap cells. Flowering time of the pgi1-1 mutant is significantly delayed under short-day conditions.","PGI; PGI1; PHOSPHOGLUCOSE ISOMERASE 1"
"522","AT5G41670","6-phosphogluconate dehydrogenase family protein;(source:Araport11)",""
"815","AT2G21370","Although this gene has a sequence similar to xylulose kinases, several lines of experimental evidence suggest that it does not act on xylulose or deoxy-xylulose.",""
"441","AT3G63110","Encodes cytokinin synthase involved in cytokinin biosynthesis. IPT3 subcellular localization is modulated by farnesylation- when farnesylated it is localized to the nucleus, otherwise to the chloroplast.","ATIPT3; IPT3; ISOPENTENYLTRANSFERASE 3"
"274","AT2G43950","Constitutes a peptide sensitive ion  channel in chloroplast outer membranes. Accumulates in germinating  seeds and developing embryos.","CHLOROPLAST OUTER ENVELOPE PROTEIN 37; OEP37"
"507","AT5G27540","Encodes a protein with similarity to GTPases that is localized to the mitochondrion. Involved in embryogenesis, pollen tube growth and required for mitochondrial development.","EMB2473; EMBRYO DEFECTIVE 2473; MIRO-RELATED GTP-ASE 1; MIRO1"
"614","AT5G56260","Ribonuclease E inhibitor RraA/Dimethylmenaquinone methyltransferase;(source:Araport11)",""
"752","AT5G58140","Membrane-bound protein serine/threonine kinase that functions as blue light photoreceptor in redundancy with PHO1. Involved in stomatal opening, chloroplast movement and phototropism. Mediates blue light-induced growth enhancements. PHOT1 and PHOT2 mediate blue light-dependent activation of the plasma membrane H+-ATPase in guard cell protoplasts. PHOT2 possesses two LOV (LOV1 and LOV2, for light-oxygen-voltage-sensing) domains involved in FMN-binding and a C-terminus forming a serine/threonine kinase domain. LOV2 acts as an inhibitor of phototropin kinase in the dark, and light cancels the inhibition through cysteine-FMN adduct formation. LOV1 in contrast acts as an attenuator of photoactivation.  Localized to the Golgi apparatus under the induction of blue light.The mRNA is cell-to-cell mobile.",""
"355","AT5G38480","general regulatory factor, a 14-3-3 gene",""
"97","AT5G26360","TCP-1/cpn60 chaperonin family protein;(source:Araport11)",""
"947","AT2G04030","Encodes a chloroplast-targeted 90-kDa heat shock protein located in the stroma involved in red-light mediated deetiolation response and crucial for protein import into the chloroplast stroma. Mutants are resistant to chlorate, have elongated hypocotyls in light, and affect the expression of NR2, CAB, and RBCS but NOT NR1 and NiR.","ATHSP90.5; ATHSP90C; CR88; HEAT SHOCK PROTEIN 88.1; HEAT SHOCK PROTEIN 90.5; HSP88.1"
"306","AT5G40580","Encodes 20S proteasome beta subunit PBB2 (PBB2).","20S PROTEASOME BETA SUBUNIT PBB2; PBB2"
"8","AT5G20630","Encodes a germin-like protein. Its transcripts are more abundant in RNA from leaves collected in the evening, suggesting some kind of circadian regulation.","ARABIDOPSIS THALIANA GERMIN 3; ATGER3; GER3; GERMIN 3; GERMIN-LIKE PROTEIN 3; GLP3; GLP3A; GLP3B"
"26","AT5G16130","Ribosomal protein S7e family protein;(source:Araport11)",""
"192","AT5G28020","Encodes cysteine synthase CysD2.","ATCYSD2; CYSD2; CYSTEINE SYNTHASE D2"
"149","AT5G48570","Encodes one of the 36 carboxylate clamp (CC)-tetratricopeptide repeat (TPR) proteins (Prasad 2010, Pubmed ID: 20856808) with potential to interact with Hsp90/Hsp70 as co-chaperones.","ATFKBP65; FKBP65; ROF2"
"189","AT2G13810","ALD1 is a L-lysine alpha-aminotransferase. It is part of the pipecolic acid biosynthetic pathway, where it catalyzes the biochemical conversion of lysine to epsilon-amino-alpha-ketocaproic acid (KAC) which is subject to subsequent transamination, cyclization and isomerization to form 2,3-dehydropipecolic acid.","AGD2-LIKE DEFENSE RESPONSE PROTEIN 1; ALD1; ATALD1; EDS TWO SUPPRESSOR 5; EDTS5"
"176","AT5G47890","NADH-ubiquinone oxidoreductase B8 subunit;(source:Araport11)",""
"223","AT2G06010","encodes a novel protein whose expression level is induced in lines overexpressing salicylic-acid (SA)-inducible Arabidopsis DNA binding with one finger (Dof) transcription factor, called OBF-binding protein 3.","OBP3-RESPONSIVE GENE 4; ORG4"
"230","AT5G24490","30S ribosomal protein;(source:Araport11)",""
"378","AT2G44990","More Axillary Branching; carotenoid cleavage dioxygenases.",""
"479","AT3G20440","Encodes BE1, a putative glycoside hydrolase. Involved in organogenesis and somatic embryogenesis by regulating carbohydrate metabolism. Mutation in BE1 has pleotrophic effect on the whole plant development.","EMB2729; EMBRYO DEFECTIVE 2729"
"795","AT5G56500","Encodes a subunit of chloroplasts chaperonins that are involved in mediating the folding of newly synthesized, translocated, or stress-denatured proteins.  Cpn60 subunits are: Cpn60alpha1 (At2g28000), AtCpn60alpha2 (At5g18820), AtCpn60beta1 (At1g55490), AtCpn60beta2 (At3g13470), AtCpn60beta3 (At5g56500), AtCpn60beta4 (At1g26230).","CHAPERONIN-60BETA3; CPN60BETA3; CPNB3"
"708","AT2G47840","Encodes a component of the TIC (translocon at the inner envelope membrane of chloroplasts) protein translocation machinery mediating the protein translocation across the inner envelope of plastids. The Arabidopsis genome encodes four Tic20 homologous proteins, AT1G04940(Tic20-I), AT2G47840(Tic20-II), AT4G03320(Tic20-IV) and AT5G55710(Tic20-V).","ATTIC20-II; TIC20-II; TRANSLOCON AT THE INNER ENVELOPE MEMBRANE OF CHLOROPLASTS 20-II"
"325","AT5G37850","Encodes a pyridoxal kinase required for root hair development. Mutants are hypersensitive to Na+, K+ and Li+.","SALT OVERLY SENSITIVE 4; SOS4"
"529","AT5G14030","translocon-associated protein beta (TRAPB) family protein;(source:Araport11)",""
"151","AT5G17710","Chloroplast GrpE protein involved in chloroplastic response to heat stress and the correct oligomerization of the photosynthesis-related LHCII complex.","CGE1; CHLOROPLAST GRPE 1; EMB1241; EMBRYO DEFECTIVE 1241"
"33","AT2G35040","AICARFT/IMPCHase bienzyme family protein;(source:Araport11)",""
"112","AT5G35180","ENHANCED DISEASE RESISTANCE protein (DUF1336);(source:Araport11)",""
"157","AT5G03900","Iron-sulfur cluster biosynthesis family protein;(source:Araport11)",""
"776","AT5G64040","Encodes the only subunit of photosystem I located entirely in the thylakoid lumen. May be involved in the interaction between plastocyanin and the photosystem I complex. Phosphorylation of this protein is dependent on calcium.","PSAN"
"200","AT1G50460","Involved in glucose-ethylene crosstalk.","ATHKL1; HEXOKINASE-LIKE 1; HKL1"
"893","AT1G03055","Encodes the ortholog of rice D27.  It is plastid-localized and is required for the inhibition of secondary bud outgrowth and operates on a nonmobile precursor upstream of MAX1 in the SL biosynthesis pathway.","A. THALIANA HOMOLOG OF RICE D27; ATD27; D27; DWARF27"
"848","AT5G27600","Encode peroxisomal long-chain acyl-CoA synthetase. Activates fatty acids for further metabolism. Interacts with PEX5.","ATLACS7; LACS7; LONG-CHAIN ACYL-COA SYNTHETASE 7"
"794","AT5G54960","pyruvate decarboxylase-2","PDC2; PYRUVATE DECARBOXYLASE-2"
"410","AT5G13640","arabidopsis phospholipid:diacylglycerol acyltransferase (PDAT)",""
"720","AT5G46630","clathrin adaptor complexes medium subunit family protein, contains Pfam profile: PF00928 adaptor complexes medium subunit family; similar to micro-adaptins of clathrin coated vesicle adaptor complexes","ADAPTOR PROTEIN-2 MU-ADAPTIN; AP2M"
