Accession,STD Annot.,Curated Loc.
AT2G17480.1,"A member of a large family of seven-transmembrane domain proteins specific to plants, homologs of the barley mildew resistance locus o (MLO) protein. The Arabidopsis genome contains 15 genes encoding MLO proteins, with localization in plasma membrane. Phylogenetic analysis revealed four clades of closely-related AtMLO genes. ATMLO8 belongs to the clade III, with AtMLO5, AtMLO7, AtMLO9, and AtMLO10. The gene is expressed during seedling growth, in cotyledons and hypocotyl, and in fruit abscission zone, as shown by GUS activity patterns. The expression of several phylogenetically closely-related AtMLO genes showed similar or overlapping tissue specificity and analogous responsiveness to external stimuli, suggesting functional redundancy, co-function, or antagonistic function(s).",plasma membrane
AT2G17840.1,Senescence/dehydration-associated protein-related,plasma membrane
AT2G18960.1,H(+)-ATPase 1,plasma membrane
AT2G19110.1,heavy metal atpase 4,plasma membrane
AT2G20840.1,Secretory carrier membrane protein (SCAMP) family protein,plasma membrane
AT2G23810.1,tetraspanin8,plasma membrane
AT2G25060.1,"early nodulin-like protein 14 (ENODL14); FUNCTIONS IN: electron carrier activity, copper ion binding; LOCATED IN: anchored to plasma membrane, plasma membrane, anchored to membrane; EXPRESSED IN: 20 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Plastocyanin-like (InterPro:IPR003245), Cupredoxin (InterPro:IPR008972); BEST Arabidopsis thaliana protein match is: early nodulin-like protein 15 (TAIR:AT4G31840.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).",plasma membrane
AT2G25270.1,unknown protein; LOCATED IN: plasma membrane; EXPRESSED IN: 18 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G12400.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).,plasma membrane
AT2G26300.1,G protein alpha subunit 1,plasma membrane
AT2G26730.1,Leucine-rich repeat protein kinase family protein,plasma membrane
AT2G27090.1,Protein of unknown function (DUF630 and DUF632),plasma membrane
AT2G27810.1,nucleobase-ascorbate transporter 12,plasma membrane
AT2G27810.2,nucleobase-ascorbate transporter 12,plasma membrane
AT2G28070.1,ABC-2 type transporter family protein,plasma membrane
AT2G28120.1,"Major facilitator superfamily protein; INVOLVED IN: N-terminal protein myristoylation, transmembrane transport; LOCATED IN: plasma membrane; EXPRESSED IN: 11 plant structures; EXPRESSED DURING: 6 growth stages; CONTAINS InterPro DOMAIN/s: Nodulin-like (InterPro:IPR010658), Major facilitator superfamily MFS-1 (InterPro:IPR011701), Major facilitator superfamily, general substrate transporter (InterPro:IPR016196); BEST Arabidopsis thaliana protein match is: Major facilitator superfamily protein (TAIR:AT2G39210.1); Has 3034 Blast hits to 2940 proteins in 680 species: Archae - 38; Bacteria - 1235; Metazoa - 42; Fungi - 225; Plants - 608; Viruses - 0; Other Eukaryotes - 886 (source: NCBI BLink).",plasma membrane
AT2G31960.1,encodes a protein similar to callose synthase,plasma membrane
AT2G32450.1,"Calcium-binding tetratricopeptide family protein; FUNCTIONS IN: binding, zinc ion binding, calcium ion binding; LOCATED IN: plasma membrane; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Tetratricopeptide TPR-1 (InterPro:IPR001440), Tetratricopeptide-like helical (InterPro:IPR011990), EF-HAND 2 (InterPro:IPR018249), Zinc finger, ZZ-type (InterPro:IPR000433), Tetratricopeptide repeat-containing (InterPro:IPR013026), Tetratricopeptide repeat (InterPro:IPR019734); BEST Arabidopsis thaliana protein match is: Calcium-binding tetratricopeptide family protein (TAIR:AT1G05150.1); Has 35687 Blast hits to 16899 proteins in 1653 species: Archae - 1571; Bacteria - 18642; Metazoa - 4222; Fungi - 630; Plants - 961; Viruses - 0; Other Eukaryotes - 9661 (source: NCBI BLink).",plasma membrane
AT2G33120.1,Encodes a member of Synaptobrevin-like protein family. Also known as VESICLE-ASSOCIATED MEMBRANE PROTEIN 722 (VAMP722). Required for cell plate formation.,plasma membrane
AT2G33120.2,synaptobrevin-related protein 1,plasma membrane
AT2G35350.1,poltergeist like 1,plasma membrane
AT2G36305.1,farnesylated protein-converting enzyme 2,plasma membrane
AT2G36570.1,Leucine-rich repeat protein kinase family protein,plasma membrane
AT2G37050.1,"Leucine-rich repeat protein kinase family protein; FUNCTIONS IN: kinase activity; INVOLVED IN: protein amino acid phosphorylation; LOCATED IN: plasma membrane; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Protein kinase, ATP binding site (InterPro:IPR017441), Serine/threonine-protein kinase domain (InterPro:IPR002290), Leucine-rich repeat (InterPro:IPR001611), Serine-threonine/tyrosine-protein kinase (InterPro:IPR001245), Serine/threonine-protein kinase, active site (InterPro:IPR008271), Protein kinase-like domain (InterPro:IPR011009), Protein kinase, catalytic domain (InterPro:IPR000719), Tyrosine-protein kinase, catalytic domain (InterPro:IPR020635); BEST Arabidopsis thaliana protein match is: Leucine-rich repeat protein kinase family protein (TAIR:AT1G67720.1); Has 171956 Blast hits to 128721 proteins in 4916 species: Archae - 120; Bacteria - 14857; Metazoa - 46912; Fungi - 10709; Plants - 78380; Viruses - 428; Other Eukaryotes - 20550 (source: NCBI BLink).",plasma membrane
AT2G37050.2,"Leucine-rich repeat protein kinase family protein; FUNCTIONS IN: kinase activity; INVOLVED IN: protein amino acid phosphorylation; LOCATED IN: plasma membrane; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Protein kinase, ATP binding site (InterPro:IPR017441), Protein kinase, catalytic domain (InterPro:IPR000719), Leucine-rich repeat (InterPro:IPR001611), Serine-threonine/tyrosine-protein kinase (InterPro:IPR001245), Protein kinase-like domain (InterPro:IPR011009); BEST Arabidopsis thaliana protein match is: Leucine-rich repeat protein kinase family protein (TAIR:AT1G67720.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).",plasma membrane
AT2G37050.3,Leucine-rich repeat protein kinase family protein,plasma membrane
AT2G38290.1,ammonium transporter 2,plasma membrane
AT2G38540.1,lipid transfer protein 1,plasma membrane; cytosol
AT2G38940.1,"Encodes Pht1;4, a member of the Pht1 family of phosphate transporters which include: Pht1;1/At5g43350, Pht1;2/At5g43370, Pht1;3/At5g43360, Pht1;4/At2g38940, Pht1;5/At2g32830, Pht1;6/At5g43340, Pht1;7/At3g54700, Pht1;8/At1g20860, Pht1;9/At1g76430 (Plant Journal 2002, 31:341). Expression is upregulated in the shoot of cax1/cax3 mutant.",plasma membrane
AT2G40540.1,"putative potassium transporter AtKT2p (AtKT2) mRNA,",plasma membrane
AT2G41705.1,"camphor resistance CrcB family protein; LOCATED IN: plasma membrane, membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Camphor resistance CrcB protein (InterPro:IPR003691); Has 1590 Blast hits to 1588 proteins in 699 species: Archae - 22; Bacteria - 1262; Metazoa - 2; Fungi - 87; Plants - 37; Viruses - 0; Other Eukaryotes - 180 (source: NCBI BLink).",plasma membrane
AT2G44060.1,"Late embryogenesis abundant protein, group 2; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: response to cadmium ion, response to desiccation, embryo development ending in seed dormancy; LOCATED IN: plasma membrane, membrane; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Water stress and hypersensitive response domain (InterPro:IPR013990), Late embryogenesis abundant protein, group 2 (InterPro:IPR004864); BEST Arabidopsis thaliana protein match is: Late embryogenesis abundant protein (TAIR:AT1G01470.1); Has 294 Blast hits to 286 proteins in 78 species: Archae - 4; Bacteria - 52; Metazoa - 0; Fungi - 0; Plants - 235; Viruses - 0; Other Eukaryotes - 3 (source: NCBI BLink).",plasma membrane
AT2G44060.2,"Late embryogenesis abundant protein, group 2",plasma membrane
AT2G45140.1,plant VAP homolog 12,plasma membrane
AT2G45470.1,FASCICLIN-like arabinogalactan protein 8,plasma membrane
AT2G45820.1,"Remorin family protein; FUNCTIONS IN: DNA binding; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Remorin, C-terminal (InterPro:IPR005516), Remorin, N-terminal (InterPro:IPR005518); BEST Arabidopsis thaliana protein match is: Remorin family protein (TAIR:AT3G61260.1); Has 2543 Blast hits to 1840 proteins in 340 species: Archae - 2; Bacteria - 408; Metazoa - 392; Fungi - 191; Plants - 500; Viruses - 4; Other Eukaryotes - 1046 (source: NCBI BLink).",plasma membrane
AT2G45960.1,a member of the plasma membrane intrinsic protein subfamily PIP1. localizes to the plasma membrane and exhibits water transport activity in Xenopus oocyte. expressed ubiquitously and protein level decreases slightly during leaf development.,plasma membrane
AT2G45960.2,a member of the plasma membrane intrinsic protein subfamily PIP1. localizes to the plasma membrane and exhibits water transport activity in Xenopus oocyte. expressed ubiquitously and protein level decreases slightly during leaf development.,plasma membrane
AT2G45960.3,a member of the plasma membrane intrinsic protein subfamily PIP1. localizes to the plasma membrane and exhibits water transport activity in Xenopus oocyte. expressed ubiquitously and protein level decreases slightly during leaf development.,plasma membrane
AT2G46920.1,"Pol mutations are recessive, partial suppressors of meristem defects in strong clv1 and clv3 mutants, and nearly complete suppressors of weak clv1 mutants. Single mutants appear normal. Acts downstream of the CLV signaling pathway in meristem development and is required together with PLL1 for stem-cell maintenance through the regulation of WUS.",plasma membrane
AT2G46920.2,Protein phosphatase 2C family protein,plasma membrane
AT2G47000.1,ATP binding cassette subfamily B4,plasma membrane
AT2G48010.1,receptor-like kinase in in flowers 3,plasma membrane
AT3G01290.1,"SPFH/Band 7/PHB domain-containing membrane-associated protein family; INVOLVED IN: N-terminal protein myristoylation; LOCATED IN: mitochondrion, plasma membrane, vacuole, membrane; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 9 growth stages; CONTAINS InterPro DOMAIN/s: Band 7 protein (InterPro:IPR001107); BEST Arabidopsis thaliana protein match is: SPFH/Band 7/PHB domain-containing membrane-associated protein family (TAIR:AT5G62740.1); Has 7523 Blast hits to 7522 proteins in 1968 species: Archae - 210; Bacteria - 4831; Metazoa - 573; Fungi - 279; Plants - 280; Viruses - 3; Other Eukaryotes - 1347 (source: NCBI BLink).",plasma membrane
AT3G02880.1,Leucine-rich repeat protein kinase family protein,plasma membrane
AT3G05200.1,RING/U-box superfamily protein,plasma membrane
AT3G07020.1,UDP-Glycosyltransferase superfamily protein,plasma membrane
AT3G07020.2,UDP-Glycosyltransferase superfamily protein,plasma membrane
AT3G07160.1,glucan synthase-like 10,plasma membrane
AT3G07390.1,auxin-responsive family protein,plasma membrane
AT3G08510.1,"Phosphoinositide-specific phospholipase C (PI-PLC), catalyzes hydrolysis of phosphatidylinositol 4,5-bisphosphate into inositol 1,4,5-trisphosphate and diacylglycerol.",plasma membrane
AT3G08510.2,phospholipase C 2,plasma membrane
AT3G08510.3,phospholipase C 2,plasma membrane
AT3G08680.1,"Leucine-rich repeat protein kinase family protein; FUNCTIONS IN: protein serine/threonine kinase activity, kinase activity, ATP binding; INVOLVED IN: transmembrane receptor protein tyrosine kinase signaling pathway, protein amino acid phosphorylation; LOCATED IN: plasma membrane, plant-type cell wall; EXPRESSED IN: 26 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Protein kinase, ATP binding site (InterPro:IPR017441), Serine/threonine-protein kinase domain (InterPro:IPR002290), Leucine-rich repeat-containing N-terminal domain, type 2 (InterPro:IPR013210), Leucine-rich repeat (InterPro:IPR001611), Serine-threonine/tyrosine-protein kinase (InterPro:IPR001245), Protein kinase-like domain (InterPro:IPR011009), Protein kinase, catalytic domain (InterPro:IPR000719), Tyrosine-protein kinase, catalytic domain (InterPro:IPR020635); BEST Arabidopsis thaliana protein match is: Leucine-rich repeat protein kinase family protein (TAIR:AT5G58300.2); Has 128832 Blast hits to 96760 proteins in 3128 species: Archae - 71; Bacteria - 9985; Metazoa - 33545; Fungi - 6918; Plants - 64071; Viruses - 347; Other Eukaryotes - 13895 (source: NCBI BLink).",plasma membrane
AT3G08680.2,Leucine-rich repeat protein kinase family protein,plasma membrane
AT3G08710.1,"Associated to plasma membrane. Moves cell to cell, suggesting a role in intercellular communication.",plasma membrane
AT3G08710.2,thioredoxin H-type 9,plasma membrane
AT3G09740.1,syntaxin of plants 71,plasma membrane
AT3G09830.1,"Protein kinase superfamily protein; FUNCTIONS IN: protein kinase activity, kinase activity, ATP binding; INVOLVED IN: protein amino acid phosphorylation; LOCATED IN: plasma membrane; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Protein kinase, ATP binding site (InterPro:IPR017441), Protein kinase, catalytic domain (InterPro:IPR000719), Serine/threonine-protein kinase-like domain (InterPro:IPR017442), Protein kinase-like domain (InterPro:IPR011009); BEST Arabidopsis thaliana protein match is: Protein kinase superfamily protein (TAIR:AT5G03320.1); Has 111504 Blast hits to 110404 proteins in 3909 species: Archae - 89; Bacteria - 12797; Metazoa - 40929; Fungi - 9447; Plants - 32155; Viruses - 381; Other Eukaryotes - 15706 (source: NCBI BLink).",plasma membrane
AT3G09830.2,Protein kinase superfamily protein,plasma membrane
AT3G09840.1,cell division cycle 48,plasma membrane; nucleus; cytosol
AT3G10740.1,alpha-L-arabinofuranosidase 1,plasma membrane; cell wall
AT3G11820.1,"Encodes a syntaxin localized at the plasma membrane (SYR1, Syntaxin Related Protein 1, also known as SYP121, PENETRATION1/PEN1). SYR1/PEN1 is a member of the SNARE superfamily proteins. SNARE proteins are involved in cell signaling, vesicle traffic, growth and development. SYR1/PEN1 functions in positioning anchoring of the KAT1 K+ channel protein at the plasma membrane. Transcription is upregulated by abscisic acid, suggesting a role in ABA signaling. Also functions in non-host resistance against barley powdery mildew, Blumeria graminis sp. hordei. SYR1/PEN1 is a nonessential component of the preinvasive resistance against Colletotrichum fungus. Required for mlo resistance. The syp121 point mutation results in stomatal phenotypes that reduce CO2 assimilation, slow vegetative growth and increase water use efficiency in the whole plant, conditional upon high light intensities and low relative humidity.",plasma membrane
AT3G11820.2,syntaxin of plants 121,plasma membrane
AT3G13560.1,"O-Glycosyl hydrolases family 17 protein; FUNCTIONS IN: cation binding, hydrolase activity, hydrolyzing O-glycosyl compounds, catalytic activity; INVOLVED IN: carbohydrate metabolic process; LOCATED IN: anchored to plasma membrane, plasma membrane, anchored to membrane; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: X8 (InterPro:IPR012946), Glycoside hydrolase, catalytic core (InterPro:IPR017853), Glycoside hydrolase, family 17 (InterPro:IPR000490), Glycoside hydrolase, subgroup, catalytic core (InterPro:IPR013781); BEST Arabidopsis thaliana protein match is: O-Glycosyl hydrolases family 17 protein (TAIR:AT2G01630.1); Has 2864 Blast hits to 2791 proteins in 151 species: Archae - 0; Bacteria - 0; Metazoa - 3; Fungi - 51; Plants - 2798; Viruses - 0; Other Eukaryotes - 12 (source: NCBI BLink).",plasma membrane
AT3G13560.2,"O-Glycosyl hydrolases family 17 protein; FUNCTIONS IN: cation binding, hydrolase activity, hydrolyzing O-glycosyl compounds, catalytic activity; INVOLVED IN: carbohydrate metabolic process; LOCATED IN: anchored to plasma membrane, plasma membrane, anchored to membrane; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: X8 (InterPro:IPR012946), Glycoside hydrolase, family 17 (InterPro:IPR000490), Glycoside hydrolase, catalytic core (InterPro:IPR017853), Glycoside hydrolase, subgroup, catalytic core (InterPro:IPR013781); BEST Arabidopsis thaliana protein match is: O-Glycosyl hydrolases family 17 protein (TAIR:AT2G01630.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).",plasma membrane
AT3G13560.3,O-Glycosyl hydrolases family 17 protein,plasma membrane
AT3G14350.1,STRUBBELIG-receptor family 7,plasma membrane
AT3G14350.2,STRUBBELIG-receptor family 7,plasma membrane
AT3G14350.3,STRUBBELIG-receptor family 7,plasma membrane
AT3G14840.1,"Leucine-rich repeat transmembrane protein kinase; FUNCTIONS IN: protein kinase activity, ATP binding; INVOLVED IN: protein amino acid phosphorylation; LOCATED IN: plasma membrane; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 14 growth stages; BEST Arabidopsis thaliana protein match is: Leucine-rich repeat transmembrane protein kinase (TAIR:AT1G07650.1); Has 83 Blast hits to 83 proteins in 11 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 83; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).",plasma membrane
AT3G14840.2,Leucine-rich repeat transmembrane protein kinase,plasma membrane
AT3G17440.1,novel plant snare 13,plasma membrane
AT3G17840.1,receptor-like kinase 902,plasma membrane
AT3G19260.1,LAG1 homologue 2,plasma membrane
AT3G19300.1,"Protein kinase superfamily protein; FUNCTIONS IN: kinase activity; INVOLVED IN: protein amino acid phosphorylation; LOCATED IN: plasma membrane; EXPRESSED IN: 9 plant structures; EXPRESSED DURING: 6 growth stages; CONTAINS InterPro DOMAIN/s: Protein kinase, ATP binding site (InterPro:IPR017441), Protein kinase, catalytic domain (InterPro:IPR000719), Serine/threonine-protein kinase-like domain (InterPro:IPR017442), Protein kinase-like domain (InterPro:IPR011009), Serine/threonine-protein kinase, active site (InterPro:IPR008271); BEST Arabidopsis thaliana protein match is: Protein kinase superfamily protein (TAIR:AT1G49730.1); Has 120929 Blast hits to 119432 proteins in 4683 species: Archae - 125; Bacteria - 14225; Metazoa - 45087; Fungi - 10031; Plants - 33279; Viruses - 564; Other Eukaryotes - 17618 (source: NCBI BLink).",plasma membrane
AT3G19930.1,Encodes a sucrose hydrogen symporter that is induced by wounding.,plasma membrane
AT3G20410.1,calmodulin-domain protein kinase 9,plasma membrane
AT3G22190.1,IQ-domain 5 (IQD5); FUNCTIONS IN: calmodulin binding; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: IQ calmodulin-binding region (InterPro:IPR000048); BEST Arabidopsis thaliana protein match is: IQ-domain 6 (TAIR:AT2G26180.1); Has 890 Blast hits to 885 proteins in 49 species: Archae - 0; Bacteria - 4; Metazoa - 33; Fungi - 8; Plants - 826; Viruses - 0; Other Eukaryotes - 19 (source: NCBI BLink).,plasma membrane
AT3G22190.2,IQ-domain 5,plasma membrane
AT3G22231.1,Encodes a member of a novel 6 member Arabidopsis gene family. Expression of PCC1 is regulated by the circadian clock and is upregulated in response to both virulent and avirulent strains of Pseudomonas syringae pv. tomato.,plasma membrane
AT3G23750.1,Leucine-rich repeat protein kinase family protein,plasma membrane
AT3G24180.1,"Beta-glucosidase, GBA2 type family protein; FUNCTIONS IN: glucosylceramidase activity, catalytic activity; INVOLVED IN: glucosylceramide catabolic process, sphingolipid metabolic process; LOCATED IN: plasma membrane; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Glucosylceramidase (InterPro:IPR006775), Six-hairpin glycosidase-like (InterPro:IPR008928), Beta-glucosidase, GBA2 type (InterPro:IPR014551); BEST Arabidopsis thaliana protein match is: Beta-glucosidase, GBA2 type family protein (TAIR:AT5G49900.1); Has 952 Blast hits to 742 proteins in 175 species: Archae - 79; Bacteria - 320; Metazoa - 186; Fungi - 2; Plants - 267; Viruses - 0; Other Eukaryotes - 98 (source: NCBI BLink).",plasma membrane
AT3G24180.2,"Beta-glucosidase, GBA2 type family protein",plasma membrane
AT3G24550.1,proline extensin-like receptor kinase 1,plasma membrane
AT3G25070.1,RPM1 interacting protein 4,plasma membrane
AT3G25500.1,formin homology 1,plasma membrane
AT3G25610.1,"ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein; FUNCTIONS IN: ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism; INVOLVED IN: phospholipid transport, ATP biosynthetic process; LOCATED IN: plasma membrane; EXPRESSED IN: 12 plant structures; EXPRESSED DURING: 6 growth stages; CONTAINS InterPro DOMAIN/s: ATPase, P-type, phospholipid-translocating, flippase (InterPro:IPR006539), ATPase, P-type, ATPase-associated domain (InterPro:IPR008250), ATPase, P-type, K/Mg/Cd/Cu/Zn/Na/Ca/Na/H-transporter (InterPro:IPR001757), ATPase, P-type phosphorylation site (InterPro:IPR018303); BEST Arabidopsis thaliana protein match is: autoinhibited Ca2+/ATPase II (TAIR:AT1G13210.1); Has 13604 Blast hits to 12205 proteins in 1686 species: Archae - 149; Bacteria - 4503; Metazoa - 3227; Fungi - 2074; Plants - 1200; Viruses - 3; Other Eukaryotes - 2448 (source: NCBI BLink).",plasma membrane
AT3G26490.1,"Phototropic-responsive NPH3 family protein; FUNCTIONS IN: signal transducer activity; INVOLVED IN: response to light stimulus; LOCATED IN: plasma membrane; EXPRESSED IN: 18 plant structures; EXPRESSED DURING: 9 growth stages; CONTAINS InterPro DOMAIN/s: NPH3 (InterPro:IPR004249), BTB/POZ fold (InterPro:IPR011333); BEST Arabidopsis thaliana protein match is: Phototropic-responsive NPH3 family protein (TAIR:AT1G67900.3); Has 883 Blast hits to 855 proteins in 28 species: Archae - 0; Bacteria - 1; Metazoa - 5; Fungi - 0; Plants - 875; Viruses - 0; Other Eukaryotes - 2 (source: NCBI BLink).",plasma membrane
AT3G26935.1,DHHC-type zinc finger family protein,plasma membrane
AT3G28290.1,Encodes a protein with sequence similarity to integrins. Localized to the cytoplasm and plasma membrane. Expressed in all tissues assayed.,plasma membrane; cytosol
AT3G28300.1,"Possesses a transmembrane domain and a small region that has sequence similarities to integrins from fungi, insects and humans. Is localized to plasma membrane and cytoplasm.",plasma membrane; cytosol
AT3G28450.1,Leucine-rich repeat protein kinase family protein,plasma membrane
AT3G28850.1,"Glutaredoxin family protein; FUNCTIONS IN: electron carrier activity, protein disulfide oxidoreductase activity; INVOLVED IN: N-terminal protein myristoylation, cell redox homeostasis; LOCATED IN: plasma membrane; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Thioredoxin fold (InterPro:IPR012335), Glutaredoxin (InterPro:IPR002109), Thioredoxin-like fold (InterPro:IPR012336); BEST Arabidopsis thaliana protein match is: Glutaredoxin family protein (TAIR:AT5G39865.1); Has 637 Blast hits to 625 proteins in 107 species: Archae - 0; Bacteria - 51; Metazoa - 127; Fungi - 21; Plants - 387; Viruses - 0; Other Eukaryotes - 51 (source: NCBI BLink).",plasma membrane
AT3G28860.1,ATP binding cassette subfamily B19,plasma membrane
AT3G29310.1,calmodulin-binding protein-related,plasma membrane
AT3G44110.1,DNAJ homologue 3,plasma membrane; nucleus; cytosol
AT3G44110.2,DNAJ homologue 3,plasma membrane; nucleus; cytosol
AT3G45780.1,"Blue-light photoreceptor. Contains a light activated serine-threonine kinase domain and LOV1 and LOV2 repeats. Mutants are defective in blue-light response. Mediates blue light-induced growth enhancements. PHOT1 and PHOT2 mediate blue light-dependent activation of the plasma membrane H+-ATPase in guard cell protoplasts. PHOT1 undergoes blue-light-dependent autophosphorylation. At least eight phosphorylation sites have been identified in PHOT1. Phosphorylation of serine851 in the activation loop of PHOT1 appears to be required for stomatal opening, chloroplast accumulation, leaf flattening, and phototropism, and phosphorylation of serine849 may also contribute to the regulation of these responses. Phosphorylation-dependent binding of 14-3-3 proteins to the Hinge1 region of PHOT1 appears to require serine350 and serine376.",plasma membrane
AT3G45780.2,phototropin 1,plasma membrane
AT3G46060.1,small GTP-binding protein (ara-3),plasma membrane
AT3G46060.2,small GTP-binding protein (ara-3),plasma membrane
AT3G46060.3,RAB GTPase homolog 8A,plasma membrane
AT3G46290.1,hercules receptor kinase 1,plasma membrane
AT3G46550.1,Fasciclin-like arabinogalactan family protein,plasma membrane
AT3G47950.1,H(+)-ATPase 4,plasma membrane
AT3G47960.1,Major facilitator superfamily protein,plasma membrane
AT3G49870.1,"A member of ARF-like GTPase family. A thaliana has 21 members, in two subfamilies, ARF and ARF-like (ARL) GTPases.",plasma membrane
AT3G51550.1,Malectin/receptor-like protein kinase family protein,plasma membrane
AT3G51740.1,encodes a leucine-repeat receptor kinase expressed in inflorescence meristem. Locus association was made from performing sequence analysis with IMK3 (MRLK) whose locus association was provided by the authors.,plasma membrane
AT3G52400.1,"syntaxin protein, involved in the negative regulation of defense pathways such as programmed cell death, salicylic acid signalling pathway, jasmonic acid signalling pathway",plasma membrane
AT3G52710.1,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane; EXPRESSED IN: 19 plant structures; EXPRESSED DURING: 9 growth stages; BEST Arabidopsis thaliana protein match is: unknown,plasma membrane
AT3G53380.1,Concanavalin A-like lectin protein kinase family protein,plasma membrane
AT3G53420.1,a member of the plasma membrane intrinsic protein subfamily PIP2. localizes to the plasma membrane and exhibits water transport activity in Xenopus oocyte. expressed specifically in the vascular bundles and protein level increases slightly during leaf dev. When expressed in yeast cells can conduct hydrogen peroxide into those cells.,plasma membrane
AT3G53420.2,a member of the plasma membrane intrinsic protein subfamily PIP2. localizes to the plasma membrane and exhibits water transport activity in Xenopus oocyte. expressed specifically in the vascular bundles and protein level increases slightly during leaf dev. When expressed in yeast cells can conduct hydrogen peroxide into those cells.,plasma membrane
AT3G54030.1,"Protein kinase protein with tetratricopeptide repeat domain; FUNCTIONS IN: binding, protein kinase activity, kinase activity, ATP binding; INVOLVED IN: protein amino acid phosphorylation, N-terminal protein myristoylation; LOCATED IN: plasma membrane; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Tetratricopeptide-like helical (InterPro:IPR011990), Protein kinase, catalytic domain (InterPro:IPR000719), Serine-threonine/tyrosine-protein kinase (InterPro:IPR001245), Protein kinase-like domain (InterPro:IPR011009); BEST Arabidopsis thaliana protein match is: Protein kinase protein with tetratricopeptide repeat domain (TAIR:AT5G59010.1); Has 33259 Blast hits to 32742 proteins in 1298 species: Archae - 16; Bacteria - 2417; Metazoa - 7041; Fungi - 251; Plants - 21929; Viruses - 104; Other Eukaryotes - 1501 (source: NCBI BLink).",plasma membrane
AT3G54140.1,peptide transporter 1,plasma membrane
AT3G54200.1,"Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: anchored to plasma membrane, plasma membrane; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Late embryogenesis abundant protein, group 2 (InterPro:IPR004864); BEST Arabidopsis thaliana protein match is: Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family (TAIR:AT3G05975.1); Has 631 Blast hits to 630 proteins in 23 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 631; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).",plasma membrane
AT3G57530.1,calcium-dependent protein kinase 32,plasma membrane
