TAIR Accession	Locus	Gene Model	Gene Type	Description	Other Name(Type)	Keywords	Is full length cDNA
Gene:6532554655	AT3G46980	AT3G46980.6	protein_coding	Encodes an inorganic phosphate transporter (PHT4;3).		 chloroplast, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, chloroplast, chloroplast membrane, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, inorganic phosphate transmembrane transporter activity, integral component of membrane, integral component of plasma membrane, leaf apex, leaf lamina base, mature plant embryo stage, organic anion transmembrane transporter activity, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plastid, pollen, root, root tip, seed, sepal, shoot apex, shoot system, stamen, stem, transmembrane transport, vascular leaf, vascular leaf senescent stage	true
Gene:6532553057	AT5G37475	AT5G37475.2	protein_coding	Translation initiation factor eIF3 subunit;(source:Araport11)		 nucleus, cytosol, eukaryotic translation initiation factor 3 complex, guard cell, nucleus, plasmodesma, plastid, rosette leaf	true
Gene:6532558080	AT5G64816	AT5G64816.4	protein_coding	Thionin-like gene.		 LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, biological process unknown, carpel, cauline leaf, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, fruit, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, molecular function unknown, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, pollen, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:6532556507	AT5G17560	AT5G17560.3	protein_coding	BolA-like family protein;(source:Araport11)		 mitochondrion, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, biological process unknown, carpel, cauline leaf, cell-to-cell mobile RNA, chloroplast, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, mitochondrion, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, pollen, protein binding, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:6532549842	AT5G54940	AT5G54940.3	protein_coding	Translation initiation factor SUI1 family protein;(source:Araport11)		 L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, RNA binding, carpel, cauline leaf, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plastid, pollen, pollen tube cell, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, translation initiation factor activity, translational initiation, vascular leaf, vascular leaf senescent stage	true
Gene:2006866	AT1G14810	AT1G14810.1	protein_coding	encodes an aspartate semialdehyde dehydrogenase, which produces the branch point intermediate for lysine and threonine/methionine biosynthesis		 chloroplast, chloroplast stroma, cotyledon, vascular leaf, seedling development stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, NAD binding, NADP binding, aspartate-semialdehyde dehydrogenase activity, carpel, cauline leaf, chloroplast, chloroplast stroma, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, isoleucine biosynthetic process, leaf apex, leaf lamina base, lysine biosynthetic process via diaminopimelate, mature plant embryo stage, methionine biosynthetic process, mitochondrion, oxidation-reduction process, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, pollen, protein dimerization activity, root, rosette leaf, seed, seedling development stage, sepal, shoot apex, shoot system, stamen, stem, threonine biosynthetic process, vascular leaf, vascular leaf senescent stage	true
Gene:2039224	AT2G35800	AT2G35800.1	protein_coding	Encodes a predicted calcium-dependent S-adenosyl methionine carrier.	S-ADENOSYL METHIONINE TRANSPORTER-LIKE; SAMTL	 mitochondrion, chloroplast envelope, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, S-adenosyl-L-methionine transmembrane transporter activity, calcium ion binding, carpel, cauline leaf, chloroplast, chloroplast envelope, collective leaf structure, cotyledon, endoplasmic reticulum, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, mitochondrial inner membrane, mitochondrion, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, pollen, root, rosette leaf, seed, seed germination stage, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2043898	AT2G43710	AT2G43710.1	protein_coding	Encodes a stearoyl-ACP desaturase, involved in fatty acid desaturation. The ssi2 mutants have increased 18:0 and reduced 18:1 fatty acids. Exogenous application of glycerol to wild type plants mimics the ssi2 mutant phenotype. The altered 18:1 fatty acid content in the ssi2 mutants has an impact on SA- and JA-mediated defense signaling. ssi2 mutants resulted in hyper-resistance to green peach aphid and antibiosis activity in petiole exudates.	ATSSI2; FAB2; FATTY ACID BIOSYNTHESIS 2; LDW1; LESION DWARF MIMIC 1; SSI2; SUPPRESSOR OF SA INSENSITIVE 2	 chloroplast, chloroplast stroma, chloroplast thylakoid, vascular leaf, seedling development stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, acyl-[acyl-carrier-protein] desaturase activity, carpel, cauline leaf, chloroplast, chloroplast stroma, chloroplast thylakoid, collective leaf structure, cotyledon, defense response, defense response to bacterium, defense response to insect, defense response to virus, fatty acid biosynthetic process, fatty acid metabolic process, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, jasmonic acid biosynthetic process, leaf apex, leaf lamina base, lipid biosynthetic process, mature plant embryo stage, metal ion binding, oxidation-reduction process, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, pollen, regulation of jasmonic acid mediated signaling pathway, regulation of salicylic acid mediated signaling pathway, root, rosette leaf, seed, seed development stage, seedling development stage, sepal, shoot apex, shoot system, stamen, stearoyl-CoA 9-desaturase activity, stearoyl-[acp] desaturase activity, stem, unsaturated fatty acid biosynthetic process, vascular leaf, vascular leaf senescent stage	true
Gene:2050089	AT2G21280	AT2G21280.1	protein_coding	A nuclear-encoded, plastid-targeted protein (AtSulA) whose overexpression causes severe yet stochastic plastid (shown in chloroplasts and leucoplasts) division defects. The protein does not appear to interact with either AtFtsZ proteins when studied in a yeast two-hybrid system.	ATSULA; GC1; GIANT CHLOROPLAST 1; SULA	 chloroplast, chloroplast envelope, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, chloroplast, chloroplast envelope, chloroplast fission, chloroplast inner membrane, coenzyme binding, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, oxidation-reduction process, oxidoreductase activity, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, pollen, protein homodimerization activity, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:1009022426	AT5G26030	AT5G26030.2	protein_coding	encodes ferrochelatase I located in plastids. Involved in heme biosynthesis in non-photosynthetic tissues and induced by oxidative stress in photosynthetic tissues to supply heme for defensive hemoproteins The mRNA is cell-to-cell mobile.	ATFC-I; FC-I; FC1; FERROCHELATASE 1	 chloroplast, plant callus, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, cauline leaf, cell-to-cell mobile RNA, chloroplast, chloroplast membrane, chloroplast thylakoid membrane, collective leaf structure, cotyledon, ferrochelatase activity, flower, flower pedicel, flowering stage, guard cell, heme biosynthetic process, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, mitochondrion, petal, petal differentiation and expansion stage, petiole, plant callus, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, pollen, pollen tube cell, response to oxidative stress, root, seed, sepal, shoot apex, shoot system, stamen, stem, tetrapyrrole biosynthetic process, vascular leaf, vascular leaf senescent stage	true
Gene:1009022933	ATCG01090	ATCG01090.1	protein_coding	Encodes subunit of the chloroplast NAD(P)H dehydrogenase complex	NDHI	 chloroplast, chloroplast thylakoid membrane, 4 iron, 4 sulfur cluster binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, NADH dehydrogenase (ubiquinone) activity, NADPH dehydrogenase activity, carpel, cauline leaf, chloroplast, chloroplast thylakoid membrane, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, photosynthesis, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plastid, pollen, quinone binding, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	false
Gene:6530297898	AT5G35160	AT5G35160.2	protein_coding	Endomembrane protein 70 protein family;(source:Araport11)	TMN11	 Golgi apparatus, mitochondrion, Golgi apparatus, Golgi membrane, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, NOT cytosol, carpel, cauline leaf, cell-to-cell mobile RNA, collective leaf structure, cotyledon, endosome, endosome membrane, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, integral component of membrane, leaf apex, leaf lamina base, mature plant embryo stage, membrane, mitochondrion, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plastid, pollen, protein localization to membrane, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, trans-Golgi network, vascular leaf, vascular leaf senescent stage	true
Gene:6530298006	AT5G52240	AT5G52240.2	protein_coding	Encodes a protein with similarity to  progesterone-binding proteins in animals. Has been shown to bind steroids in vitro. Expressed in aerial portions of the plant excluding mature flowers and siliques. Antisense experiments suggest a role in inhibition of hypocotyl cell elongation. Expression is suppressed light grown seedlings transferred to the dark. The mRNA is cell-to-cell mobile.	MEMBRANE STEROID BINDING PROTEIN 1; MSBP1	 Golgi apparatus, chloroplast, Golgi apparatus, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, cell-to-cell mobile RNA, chloroplast, collective leaf structure, cotyledon, cultured plant cell, endoplasmic reticulum, endosome membrane, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, integral component of membrane, leaf apex, leaf lamina base, mature plant embryo stage, negative regulation of cell growth, petal, petal differentiation and expansion stage, petiole, plant callus, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, plastid, pollen, protein binding, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, steroid binding, vascular leaf, vascular leaf senescent stage	true
Gene:6530298027	AT5G55230	AT5G55230.2	protein_coding	Binds and bundles microtubules. Plays a role in stabilizing anti-parallel microtubules  in the central spindle at anaphase to early cytokinesis but is not essential at the midline of the phragmoplast at later stages. The timing with which the MAP65-1 was targeted to  the spindle appears to be regulated by a phosphorylation sensitive  switch. Enhances microtubule polymerization, promotes nucleation and stabilizes microtubules against cold treatment and dilution.	MAP65-1; MICROTUBULE-ASSOCIATED PROTEINS 65-1	 nucleus, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, cell cortex, cell cycle, cell division, cell growth, collective leaf structure, cortical microtubule, cortical microtubule organization, cortical microtubule, transverse to long axis, cotyledon, cultured plant cell, cytokinesis, cytoplasm, cytosol, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, microtubule, microtubule binding, microtubule bundle formation, microtubule nucleation, microtubule polymerization, mitotic spindle, nucleus, petal, petal differentiation and expansion stage, petiole, phragmoplast, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, pollen, positive regulation of microtubule polymerization, post-embryonic root development, preprophase band, protein binding, protein dimerization activity, root, rosette leaf, seed, sepal, shoot apex, shoot system, spindle, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:6532556269	AT5G14260	AT5G14260.4	protein_coding	Rubisco methyltransferase family protein;(source:Araport11)		 mitochondrion, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, chloroplast, chloroplast stroma, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, mitochondrion, peptidyl-lysine monomethylation, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plastid, pollen, protein-lysine N-methyltransferase activity, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:6532557631	AT5G56260	AT5G56260.2	protein_coding	Ribonuclease E inhibitor RraA/Dimethylmenaquinone methyltransferase;(source:Araport11)		 chloroplast, 4-hydroxy-4-methyl-2-oxoglutarate aldolase activity, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, chloroplast, collective leaf structure, cotyledon, extracellular region, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, metal ion binding, oxaloacetate decarboxylase activity, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, pollen, regulation of RNA metabolic process, ribonuclease inhibitor activity, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2158843	AT5G49930	AT5G49930.1	protein_coding	zinc knuckle (CCHC-type) family protein;(source:Araport11)	EMB1441; EMBRYO DEFECTIVE 1441	 nucleus, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, RQC complex, carpel, cauline leaf, collective leaf structure, cotyledon, embryo development ending in seed dormancy, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plastid, pollen, pollen tube cell, rescue of stalled ribosome, ribosomal large subunit binding, ribosome-associated ubiquitin-dependent protein catabolic process, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, tRNA binding, vascular leaf, vascular leaf senescent stage, zinc ion binding	true
Gene:2161599	AT5G55190	AT5G55190.1	protein_coding	A member of RAN GTPase gene family. Encodes a small soluble GTP-binding protein. Likely to be involved in nuclear translocation of proteins.  May also be involved in cell cycle progression.	ATRAN3; RAN GTPASE 3; RAN3	 Golgi apparatus, cytosol, nucleus, plasmodesma, cultured plant cell, seedling development stage, GTP binding, GTPase activity, Golgi apparatus, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, NOT cytosol, carpel, cauline leaf, cell, collective leaf structure, cotyledon, cultured plant cell, cytoplasm, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, intracellular, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasmodesma, plastid, pollen, protein binding, protein import into nucleus, root, rosette leaf, seed, seedling development stage, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2161774	AT5G56000	AT5G56000.1	protein_coding	HEAT SHOCK PROTEIN 81.4;(source:Araport11)	ATHSP90.4; HEAT SHOCK PROTEIN 81.4; HEAT SHOCK PROTEIN 90.4; HSP81.4	 Golgi apparatus, cell wall, chloroplast stroma, cytoplasm, plasma membrane, vacuolar membrane, apoplast, cultured plant cell, ATP binding, Golgi apparatus, L mature pollen stage, M germinated pollen stage, apoplast, cell surface, cell wall, cellular response to heat, chloroplast stroma, cultured plant cell, cytoplasm, cytosol, guard cell, nucleus, perinuclear region of cytoplasm, plasma membrane, plastid, pollen, pollen tube cell, protein folding, protein stabilization, protein-containing complex, rosette leaf, unfolded protein binding, vacuolar membrane	true
Gene:2146949	AT5G25230	AT5G25230.1	protein_coding	Ribosomal protein S5/Elongation factor G/III/V family protein;(source:Araport11)		 cytoplasm, nucleolus, plasmodesma, cultured plant cell, GTPase activity, U2-type catalytic step 2 spliceosome, U4/U6 x U5 tri-snRNP complex, U5 snRNA binding, cultured plant cell, cytoplasm, cytosol, mRNA splicing, via spliceosome, nucleolus, plasmodesma, plastid, ribonucleoprotein complex, rosette leaf	false
Gene:2147318	AT5G54430	AT5G54430.1	protein_coding	Contains a universal stress protein domain. Protein is phosphorylated in response to Phytophthora infestans zoospores and xylanase.	ATPHOS32; PHOS32	 cytosol, nucleus, plasma membrane, cultured plant cell, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, NOT cytosol, carpel, cauline leaf, chloroplast, collective leaf structure, cotyledon, cultured plant cell, cytosol, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, plastid, pollen, response to molecule of fungal origin, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2149248	AT5G20230	AT5G20230.1	protein_coding	Encodes a Al-stress-induced gene. Along with TCF, it promotes lignin biosynthesis in response to cold stress. The mRNA is cell-to-cell mobile.	ATBCB; BCB; BLUE COPPER BINDING PROTEIN; BLUE-COPPER-BINDING PROTEIN; SAG14; SENESCENCE ASSOCIATED GENE 14	 extracellular region, plasma membrane, vacuole, anchored component of plasma membrane, plant callus, cultured plant cell, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, aluminum cation transport, anchored component of membrane, anchored component of plasma membrane, carpel, cauline leaf, cell-to-cell mobile RNA, cellular response to cold, collective leaf structure, cotyledon, cultured plant cell, defense response to fungus, electron transfer activity, extracellular region, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, metal ion binding, petal, petal differentiation and expansion stage, petiole, plant callus, plant embryo, plant embryo globular stage, plasma membrane, plastid, pollen, pollen tube cell, protein binding, regulation of lignin biosynthetic process, response to absence of light, response to oxidative stress, response to wounding, root, rosette leaf, sepal, shoot apex, shoot system, stamen, stem, vacuole, vascular leaf, vascular leaf senescent stage	true
Gene:2151083	AT5G26360	AT5G26360.1	protein_coding	TCP-1/cpn60 chaperonin family protein;(source:Araport11)		 chloroplast, cytosol, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, chaperonin-containing T-complex, chloroplast, collective leaf structure, cotyledon, cytosol, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, pollen, protein binding, protein folding, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, unfolded protein binding, vascular leaf, vascular leaf senescent stage	true
Gene:2165080	AT5G56730	AT5G56730.1	protein_coding	Insulinase (Peptidase family M16) protein;(source:Araport11)		 chloroplast, mitochondrion, plant callus, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, chloroplast, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, metal ion binding, metalloendopeptidase activity, mitochondrion, petal, petal differentiation and expansion stage, petiole, plant callus, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, pollen, proteolysis, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	false
Gene:2169870	AT5G37510	AT5G37510.1	protein_coding	Encodes a subunit of the 400 kDa subcomplex of the mitochondrial NADH dehydrogenase (complex I).  The protein has been isolated in the male gametophyte. The mRNA is cell-to-cell mobile.	CI76; EMB1467; EMBRYO DEFECTIVE 1467	 chloroplast, mitochondrion, cultured plant cell, 2 iron, 2 sulfur cluster binding, 4 iron, 4 sulfur cluster binding, ATP synthesis coupled electron transport, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, NADH dehydrogenase (ubiquinone) activity, NADH dehydrogenase activity, carpel, cauline leaf, cell-to-cell mobile RNA, cellular respiration, chloroplast, collective leaf structure, cotyledon, cultured plant cell, electron transfer activity, embryo development ending in seed dormancy, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, metal ion binding, mitochondrial membrane, mitochondrial respiratory chain complex I, mitochondrion, petal, petal differentiation and expansion stage, petiole, photorespiration, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane respiratory chain complex I, plastid, pollen, pollen tube cell, respiratory chain complex I, response to oxidative stress, root, rosette leaf, seed, seed development stage, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2174184	AT5G16660	AT5G16660.1	protein_coding	Low-density receptor-like protein;(source:Araport11)		 chloroplast, chloroplast thylakoid membrane, chloroplast envelope, vascular leaf, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, biological process unknown, carpel, cauline leaf, chloroplast, chloroplast envelope, chloroplast inner membrane, chloroplast thylakoid membrane, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, integral component of membrane, leaf apex, leaf lamina base, mature plant embryo stage, molecular function unknown, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plastid, pollen, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2202954	AT1G78620	AT1G78620.1	protein_coding	integral membrane protein (Protein of unknown function DUF92, transmembrane);(source:Araport11)	VITAMIN E DEFICIENT6; VTE6	 chloroplast, chloroplast envelope, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, chloroplast, chloroplast envelope, chloroplast inner membrane, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, integral component of membrane, leaf apex, leaf lamina base, mature plant embryo stage, membrane, mitochondrion, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, pollen, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, transferase activity, vascular leaf, vascular leaf senescent stage, vitamin E biosynthetic process	true
Gene:3434834	AT1G74960	AT1G74960.1	protein_coding	Encodes a plastidic beta-ketoacyl-ACP synthase II, involved in fatty acid elongation from 16:0-ACP to 18:0-ACP. Homozygous knock-out mutants are embryo lethal, indicating early embryo development is sensitive to elevated 16:0.	ARABIDOPSIS BETA-KETOACYL-ACP SYNTHETASE 2; ATKAS2; BETA-KETOACYL-ACP SYNTHETASE 2; FAB1; FATTY ACID BIOSYNTHESIS 1; KAS2	 chloroplast, chloroplast stroma, 3-oxoacyl-[acyl-carrier-protein] synthase activity, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, cauline leaf, chloroplast, chloroplast stroma, cold acclimation, collective leaf structure, cotyledon, cytosol, embryo development ending in seed dormancy, fatty acid biosynthetic process, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plastid, pollen, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, unsaturated fatty acid biosynthetic process, vascular leaf, vascular leaf senescent stage	true
